"","Answer.time_in_minutes","rawRT","key","Answer.condition","slide_type","workerid","slide_number","image","audio","logRT","rt"
"54",9.45505,1438,"No","all_QUD","trial_1",409,16,"13","some.wav",7.27100853828099,1438
"55",9.45505,1359,"Yes","all_QUD","trial_1",409,28,"13","some.wav",7.21450441415114,1359
"56",9.45505,2867,"No","all_QUD","trial_1",409,32,"13","some.wav",7.96102146588337,2867
"57",9.45505,1266,"No","all_QUD","trial_1",409,37,"13","some.wav",7.14361760270412,1266
"58",9.45505,1804,"No","all_QUD","trial_2",409,51,"13","some.wav",7.49776170062257,1804
"59",9.45505,2115,"No","all_QUD","trial_2",409,56,"13","some.wav",7.65681009148038,2115
"60",9.45505,2552,"Yes","all_QUD","trial_2",409,77,"13","some.wav",7.84463264446468,2552
"61",9.45505,976,"No","all_QUD","trial_2",409,81,"13","some.wav",6.88346258641309,976
"62",16.6576166666667,1612,"Yes","all_QUD","trial_1",411,22,"13","some.wav",7.38523092306657,1612
"63",16.6576166666667,1081,"No","all_QUD","trial_1",411,25,"13","some.wav",6.98564181763921,1081
"64",16.6576166666667,1087,"Yes","all_QUD","trial_1",411,42,"13","some.wav",6.99117688712121,1087
"65",16.6576166666667,1177,"Yes","all_QUD","trial_1",411,44,"13","some.wav",7.07072410726028,1177
"66",16.6576166666667,1492,"Yes","all_QUD","trial_2",411,64,"13","some.wav",7.30787278076371,1492
"67",16.6576166666667,1107,"No","all_QUD","trial_2",411,65,"13","some.wav",7.00940893270864,1107
"68",16.6576166666667,1031,"No","all_QUD","trial_2",411,72,"13","some.wav",6.93828448401696,1031
"69",16.6576166666667,1170,"No","all_QUD","trial_2",411,78,"13","some.wav",7.0647590277918,1170
"70",11.3604166666667,2112,"Yes","all_QUD","trial_1",412,11,"13","some.wav",7.65539064482615,2112
"71",11.3604166666667,2799,"Yes","all_QUD","trial_1",412,21,"13","some.wav",7.93701748951545,2799
"72",11.3604166666667,1861,"No","all_QUD","trial_1",412,34,"13","some.wav",7.52886925664225,1861
"73",11.3604166666667,2063,"No","all_QUD","trial_1",412,36,"13","some.wav",7.63191651307125,2063
"74",11.3604166666667,1055,"No","all_QUD","trial_2",412,61,"13","some.wav",6.96129604591017,1055
"75",11.3604166666667,1535,"No","all_QUD","trial_2",412,64,"13","some.wav",7.3362856600213,1535
"76",11.3604166666667,1891,"No","all_QUD","trial_2",412,69,"13","some.wav",7.54486106865846,1891
"77",11.3604166666667,1384,"No","all_QUD","trial_2",412,75,"13","some.wav",7.23273313617761,1384
"78",12.9663833333333,1990,"Yes","all_QUD","trial_1",414,18,"13","some.wav",7.59588991771854,1990
"79",12.9663833333333,1435,"Yes","all_QUD","trial_1",414,21,"13","some.wav",7.26892012819372,1435
"80",12.9663833333333,1507,"Yes","all_QUD","trial_1",414,29,"13","some.wav",7.3178761986265,1507
"81",12.9663833333333,1407,"Yes","all_QUD","trial_1",414,36,"13","some.wav",7.24921505711439,1407
"82",12.9663833333333,1455,"Yes","all_QUD","trial_2",414,56,"13","some.wav",7.28276117960559,1455
"83",12.9663833333333,1356,"Yes","all_QUD","trial_2",414,59,"13","some.wav",7.21229446850034,1356
"84",12.9663833333333,1419,"Yes","all_QUD","trial_2",414,79,"13","some.wav",7.25770767716004,1419
"85",12.9663833333333,1381,"Yes","all_QUD","trial_2",414,83,"13","some.wav",7.23056315340929,1381
"86",11.9596666666667,2616,"Yes","all_QUD","trial_1",415,22,"13","some.wav",7.86940171257709,2616
"87",11.9596666666667,2456,"Yes","all_QUD","trial_1",415,25,"13","some.wav",7.80628928926703,2456
"88",11.9596666666667,1370,"Yes","all_QUD","trial_1",415,35,"13","some.wav",7.22256601882217,1370
"89",11.9596666666667,1460,"Yes","all_QUD","trial_1",415,40,"13","some.wav",7.28619171470238,1460
"90",11.9596666666667,3160,"No","all_QUD","trial_2",415,58,"13","some.wav",8.05832730658096,3160
"91",11.9596666666667,1867,"Yes","all_QUD","trial_2",415,62,"13","some.wav",7.53208814354172,1867
"92",11.9596666666667,1254,"Yes","all_QUD","trial_2",415,74,"13","some.wav",7.13409372119287,1254
"93",11.9596666666667,1419,"Yes","all_QUD","trial_2",415,79,"13","some.wav",7.25770767716004,1419
"94",11.40725,1351,"No","all_QUD","trial_1",417,12,"13","some.wav",7.2086003379602,1351
"95",11.40725,979,"No","all_QUD","trial_1",417,25,"13","some.wav",6.88653164253051,979
"96",11.40725,997,"No","all_QUD","trial_1",417,35,"13","some.wav",6.90475076996184,997
"97",11.40725,1028,"No","all_QUD","trial_1",417,42,"13","some.wav",6.93537044601511,1028
"98",11.40725,1364,"Yes","all_QUD","trial_2",417,56,"13","some.wav",7.21817683840341,1364
"99",11.40725,1005,"No","all_QUD","trial_2",417,62,"13","some.wav",6.91274282049318,1005
"100",11.40725,1169,"No","all_QUD","trial_2",417,67,"13","some.wav",7.06390396147207,1169
"101",11.40725,1298,"No","all_QUD","trial_2",417,77,"13","some.wav",7.16857989726403,1298
"102",9.32221666666667,2273,"No","all_QUD","trial_1",418,20,"13","some.wav",7.72885582385254,2273
"103",9.32221666666667,1624,"No","all_QUD","trial_1",418,24,"13","some.wav",7.39264752072162,1624
"104",9.32221666666667,1378,"No","all_QUD","trial_1",418,32,"13","some.wav",7.2283884515736,1378
"105",9.32221666666667,1241,"No","all_QUD","trial_1",418,39,"13","some.wav",7.12367278520461,1241
"106",9.32221666666667,1001,"No","all_QUD","trial_2",418,52,"13","some.wav",6.90875477931522,1001
"107",9.32221666666667,1217,"No","all_QUD","trial_2",418,59,"13","some.wav",7.10414409298753,1217
"108",9.32221666666667,1375,"No","all_QUD","trial_2",418,68,"13","some.wav",7.22620901010067,1375
"109",9.32221666666667,1529,"No","all_QUD","trial_2",418,82,"13","some.wav",7.33236920592906,1529
"110",8.0155,1715,"Yes","all_QUD","trial_1",419,14,"13","some.wav",7.44716835960004,1715
"111",8.0155,1639,"Yes","all_QUD","trial_1",419,22,"13","some.wav",7.40184157874383,1639
"112",8.0155,998,"Yes","all_QUD","trial_1",419,38,"13","some.wav",6.90575327631146,998
"113",8.0155,1196,"Yes","all_QUD","trial_1",419,44,"13","some.wav",7.08673793451058,1196
"114",8.0155,1425,"Yes","all_QUD","trial_2",419,50,"13","some.wav",7.26192709270275,1425
