"","rawRT","key","slide_type","workerid","image","audio","Answer.condition","Answer.time_in_minutes","slide_number","age_group","qud"
"85","1562784293152","Yes","practice_trial",1,"13","all.wav","all_QUD",16.4025166666667,7,"age1","all"
"86","1562784298774","No","practice_trial",1,"0","all.wav","all_QUD",16.4025166666667,8,"age1","all"
"87","1562784304153","Yes","practice_trial",1,"0","none.wav","all_QUD",16.4025166666667,9,"age1","all"
"88","2250","No","trial_1",1,"2","all.wav","all_QUD",16.4025166666667,11,"age1","all"
"89","2639","No","trial_1",1,"13","summa.wav","all_QUD",16.4025166666667,12,"age1","all"
"90","2065","Yes","trial_1",1,"0","none.wav","all_QUD",16.4025166666667,13,"age1","all"
"91","2038","Yes","trial_1",1,"13","all.wav","all_QUD",16.4025166666667,14,"age1","all"
"92","2727","No","trial_1",1,"0","five.wav","all_QUD",16.4025166666667,15,"age1","all"
"93","2008","Yes","trial_1",1,"2","two.wav","all_QUD",16.4025166666667,16,"age1","all"
"94","5557","No","trial_1",1,"13","eight.wav","all_QUD",16.4025166666667,17,"age1","all"
"95","1612","Yes","trial_1",1,"13","all.wav","all_QUD",16.4025166666667,18,"age1","all"
"96","6724","Yes","trial_1",1,"8","eight.wav","all_QUD",16.4025166666667,19,"age1","all"
"97","1914","No","trial_1",1,"0","summa.wav","all_QUD",16.4025166666667,20,"age1","all"
"98","1999","Yes","trial_1",1,"2","two.wav","all_QUD",16.4025166666667,21,"age1","all"
"99","2400","Yes","trial_1",1,"8","summa.wav","all_QUD",16.4025166666667,22,"age1","all"
"100","1754","No","trial_1",1,"5","all.wav","all_QUD",16.4025166666667,23,"age1","all"
"101","26147","No","trial_1",1,"11","thirteen.wav","all_QUD",16.4025166666667,24,"age1","all"
"102","7524","No","trial_1",1,"8","eleven.wav","all_QUD",16.4025166666667,25,"age1","all"
"103","2106","No","trial_1",1,"13","summa.wav","all_QUD",16.4025166666667,26,"age1","all"
"104","2330","No","trial_1",1,"5","four.wav","all_QUD",16.4025166666667,27,"age1","all"
"105","3777","No","trial_1",1,"8","none.wav","all_QUD",16.4025166666667,28,"age1","all"
"106","2278","Yes","trial_1",1,"5","five.wav","all_QUD",16.4025166666667,29,"age1","all"
"107","2199","No","trial_1",1,"0","all.wav","all_QUD",16.4025166666667,30,"age1","all"
"108","1628","No","trial_1",1,"5","ten.wav","all_QUD",16.4025166666667,31,"age1","all"
"109","1764","Yes","trial_1",1,"13","all.wav","all_QUD",16.4025166666667,32,"age1","all"
"110","1276","Yes","trial_1",1,"2","two.wav","all_QUD",16.4025166666667,33,"age1","all"
"111","1855","No","trial_1",1,"11","seven.wav","all_QUD",16.4025166666667,34,"age1","all"
"112","1529","No","trial_1",1,"11","none.wav","all_QUD",16.4025166666667,35,"age1","all"
"113","1691","Yes","trial_1",1,"5","summa.wav","all_QUD",16.4025166666667,36,"age1","all"
"114","1344","No","trial_1",1,"11","all.wav","all_QUD",16.4025166666667,37,"age1","all"
"115","1316","No","trial_1",1,"13","summa.wav","all_QUD",16.4025166666667,38,"age1","all"
"116","1225","No","trial_1",1,"0","eleven.wav","all_QUD",16.4025166666667,39,"age1","all"
"117","1204","No","trial_1",1,"0","summa.wav","all_QUD",16.4025166666667,40,"age1","all"
"118","1044","No","trial_1",1,"13","summa.wav","all_QUD",16.4025166666667,41,"age1","all"
"119","1358","Yes","trial_1",1,"13","all.wav","all_QUD",16.4025166666667,42,"age1","all"
"120","1054","Yes","trial_1",1,"2","two.wav","all_QUD",16.4025166666667,43,"age1","all"
"121","1012","Yes","trial_1",1,"0","none.wav","all_QUD",16.4025166666667,44,"age1","all"
