"response","slide_type","workerid","image","audio","Answer.condition","Answer.time_in_minutes","slide_number","speaker_cond"
"[2601, 'Yes']","trial_2",1,"11","summa.wav","all_QUD",16.4025166666667,71,"age1_all"
"[978, 'No']","trial_2",1,"2","none.wav","all_QUD",16.4025166666667,72,"age1_all"
"[1650, 'No']","trial_2",1,"11","all.wav","all_QUD",16.4025166666667,73,"age1_all"
"[1100, 'No']","trial_2",1,"13","summa.wav","all_QUD",16.4025166666667,74,"age1_all"
"[1566, 'Yes']","trial_2",1,"0","none.wav","all_QUD",16.4025166666667,75,"age1_all"
"[1164, 'No']","trial_2",1,"2","twelve.wav","all_QUD",16.4025166666667,76,"age1_all"
"[1396, 'Yes']","trial_2",1,"13","all.wav","all_QUD",16.4025166666667,77,"age1_all"
"[1869, 'Yes']","trial_2",1,"13","all.wav","all_QUD",16.4025166666667,78,"age1_all"
"[1245, 'Yes']","trial_2",1,"5","five.wav","all_QUD",16.4025166666667,79,"age1_all"
"[1436, 'No']","trial_2",1,"5","nine.wav","all_QUD",16.4025166666667,80,"age1_all"
"[7581, 'Yes']","trial_2",1,"11","eleven.wav","all_QUD",16.4025166666667,81,"age1_all"
"[1142, 'No']","trial_2",1,"0","all.wav","all_QUD",16.4025166666667,82,"age1_all"
"[1042, 'No']","trial_2",1,"0","summa.wav","all_QUD",16.4025166666667,83,"age1_all"
"[0, 'Mary']","bot_check",2,"Mary","","any_QUD",13.7938,1,"age1_any"
"[0, 'Four']","audio_check",2,"","","any_QUD",13.7938,3,"age1_any"
"[0, 'Jam']","comprehension_check_1",2,"","","any_QUD",13.7938,4,"age1_any"
"[2601, 'No']","practice_trial",2,"13","none.wav","any_QUD",13.7938,6,"age1_any"
"[1440, 'Yes']","practice_trial",2,"13","all.wav","any_QUD",13.7938,7,"age1_any"
"[1843, 'No']","practice_trial",2,"0","all.wav","any_QUD",13.7938,8,"age1_any"
"[3368, 'Yes']","practice_trial",2,"0","none.wav","any_QUD",13.7938,9,"age1_any"
"[1705, 'No']","trial_1",2,"0","none.wav","any_QUD",13.7938,11,"age1_any"
"[2370, 'No']","trial_1",2,"5","all.wav","any_QUD",13.7938,12,"age1_any"
"[2076, 'Yes']","trial_1",2,"2","two.wav","any_QUD",13.7938,13,"age1_any"
"[10655, 'No']","trial_1",2,"13","summa.wav","any_QUD",13.7938,14,"age1_any"
"[1730, 'Yes']","trial_1",2,"8","summa.wav","any_QUD",13.7938,15,"age1_any"
"[1823, 'No']","trial_1",2,"2","all.wav","any_QUD",13.7938,16,"age1_any"
"[878, 'Yes']","trial_1",2,"13","all.wav","any_QUD",13.7938,17,"age1_any"
"[1331, 'Yes']","trial_1",2,"13","all.wav","any_QUD",13.7938,18,"age1_any"
"[4263, 'No']","trial_1",2,"13","eight.wav","any_QUD",13.7938,19,"age1_any"
"[1652, 'Yes']","trial_1",2,"2","two.wav","any_QUD",13.7938,20,"age1_any"
"[2481, 'No']","trial_1",2,"8","eleven.wav","any_QUD",13.7938,21,"age1_any"
"[7558, 'No']","trial_1",2,"11","thirteen.wav","any_QUD",13.7938,22,"age1_any"
"[2233, 'No']","trial_1",2,"8","none.wav","any_QUD",13.7938,23,"age1_any"
"[2467, 'No']","trial_1",2,"0","summa.wav","any_QUD",13.7938,24,"age1_any"
"[3290, 'Yes']","trial_1",2,"8","eight.wav","any_QUD",13.7938,25,"age1_any"
"[3362, 'No']","trial_1",2,"13","summa.wav","any_QUD",13.7938,26,"age1_any"
"[2320, 'No']","trial_1",2,"0","five.wav","any_QUD",13.7938,27,"age1_any"
"[2162, 'No']","trial_1",2,"5","four.wav","any_QUD",13.7938,28,"age1_any"
"[1860, 'No']","trial_1",2,"13","summa.wav","any_QUD",13.7938,29,"age1_any"
"[1885, 'Yes']","trial_1",2,"13","all.wav","any_QUD",13.7938,30,"age1_any"
"[1271, 'Yes']","trial_1",2,"13","all.wav","any_QUD",13.7938,31,"age1_any"
"[2230, 'Yes']","trial_1",2,"8","eight.wav","any_QUD",13.7938,32,"age1_any"
"[1565, 'Yes']","trial_1",2,"5","five.wav","any_QUD",13.7938,33,"age1_any"
"[1421, 'No']","trial_1",2,"0","all.wav","any_QUD",13.7938,34,"age1_any"
"[2432, 'No']","trial_1",2,"0","eleven.wav","any_QUD",13.7938,35,"age1_any"
"[1742, 'No']","trial_1",2,"5","ten.wav","any_QUD",13.7938,36,"age1_any"
"[1985, 'No']","trial_1",2,"11","none.wav","any_QUD",13.7938,37,"age1_any"
"[1952, 'Yes']","trial_1",2,"0","none.wav","any_QUD",13.7938,38,"age1_any"
"[4416, 'Yes']","trial_1",2,"11","eleven.wav","any_QUD",13.7938,39,"age1_any"
"[1199, 'Yes']","trial_1",2,"2","two.wav","any_QUD",13.7938,40,"age1_any"
"[1709, 'No']","trial_1",2,"13","summa.wav","any_QUD",13.7938,41,"age1_any"
"[1842, 'Yes']","trial_1",2,"5","summa.wav","any_QUD",13.7938,42,"age1_any"
"[2021, 'No']","trial_1",2,"11","all.wav","any_QUD",13.7938,43,"age1_any"
"[1577, 'Yes']","trial_1",2,"2","two.wav","any_QUD",13.7938,44,"age1_any"
"[1553, 'No']","trial_1",2,"0","summa.wav","any_QUD",13.7938,45,"age1_any"
"[5545, 'No']","trial_1",2,"11","seven.wav","any_QUD",13.7938,46,"age1_any"
"[0, 'Jam']","comprehension_check_2",2,"","","any_QUD",13.7938,47,"age1_any"
"[3902, 'Yes']","trial_2",2,"8","eight.wav","any_QUD",13.7938,48,"age1_any"
"[1524, 'No']","trial_2",2,"0","three.wav","any_QUD",13.7938,49,"age1_any"
"[1875, 'Yes']","trial_2",2,"0","none.wav","any_QUD",13.7938,50,"age1_any"
"[1566, 'No']","trial_2",2,"5","two.wav","any_QUD",13.7938,51,"age1_any"
"[899, 'Yes']","trial_2",2,"13","all.wav","any_QUD",13.7938,52,"age1_any"
"[1002, 'Yes']","trial_2",2,"2","two.wav","any_QUD",13.7938,53,"age1_any"
"[1499, 'Yes']","trial_2",2,"5","five.wav","any_QUD",13.7938,54,"age1_any"
"[1471, 'No']","trial_2",2,"0","summa.wav","any_QUD",13.7938,55,"age1_any"
"[1191, 'Yes']","trial_2",2,"8","eight.wav","any_QUD",13.7938,56,"age1_any"
"[919, 'Yes']","trial_2",2,"13","all.wav","any_QUD",13.7938,57,"age1_any"
"[1596, 'No']","trial_2",2,"13","summa.wav","any_QUD",13.7938,58,"age1_any"
"[3284, 'No']","trial_2",2,"13","ten.wav","any_QUD",13.7938,59,"age1_any"
"[1937, 'Yes']","trial_2",2,"2","summa.wav","any_QUD",13.7938,60,"age1_any"
"[1413, 'No']","trial_2",2,"5","all.wav","any_QUD",13.7938,61,"age1_any"
"[1418, 'No']","trial_2",2,"8","all.wav","any_QUD",13.7938,62,"age1_any"
"[1978, 'No']","trial_2",2,"13","summa.wav","any_QUD",13.7938,63,"age1_any"
"[2266, 'No']","trial_2",2,"11","one.wav","any_QUD",13.7938,64,"age1_any"
"[1428, 'No']","trial_2",2,"13","none.wav","any_QUD",13.7938,65,"age1_any"
"[1340, 'Yes']","trial_2",2,"5","five.wav","any_QUD",13.7938,66,"age1_any"
"[1804, 'Yes']","trial_2",2,"0","none.wav","any_QUD",13.7938,67,"age1_any"
"[1282, 'No']","trial_2",2,"2","none.wav","any_QUD",13.7938,68,"age1_any"
"[1634, 'No']","trial_2",2,"0","summa.wav","any_QUD",13.7938,69,"age1_any"
"[1588, 'Yes']","trial_2",2,"5","nine.wav","any_QUD",13.7938,70,"age1_any"
"[10118, 'Yes']","trial_2",2,"8","eight.wav","any_QUD",13.7938,71,"age1_any"
"[1076, 'Yes']","trial_2",2,"2","two.wav","any_QUD",13.7938,72,"age1_any"
"[1371, 'No']","trial_2",2,"0","all.wav","any_QUD",13.7938,73,"age1_any"
"[1034, 'Yes']","trial_2",2,"13","all.wav","any_QUD",13.7938,74,"age1_any"
"[1427, 'No']","trial_2",2,"13","summa.wav","any_QUD",13.7938,75,"age1_any"
"[1462, 'No']","trial_2",2,"11","all.wav","any_QUD",13.7938,76,"age1_any"
"[972, 'Yes']","trial_2",2,"13","all.wav","any_QUD",13.7938,77,"age1_any"
"[1434, 'No']","trial_2",2,"2","twelve.wav","any_QUD",13.7938,78,"age1_any"
"[2078, 'Yes']","trial_2",2,"11","summa.wav","any_QUD",13.7938,79,"age1_any"
"[1976, 'No']","trial_2",2,"8","two.wav","any_QUD",13.7938,80,"age1_any"
"[1456, 'No']","trial_2",2,"13","five.wav","any_QUD",13.7938,81,"age1_any"
"[4268, 'Yes']","trial_2",2,"11","eleven.wav","any_QUD",13.7938,82,"age1_any"
"[1497, 'No']","trial_2",2,"13","summa.wav","any_QUD",13.7938,83,"age1_any"
"[0, 'Sarah']","bot_check",3,"Sarah","","any_QUD",11.19175,1,"age1_any"
"[0, 'Four']","audio_check",3,"","","any_QUD",11.19175,3,"age1_any"
"[0, 'Empty']","comprehension_check_1",3,"","","any_QUD",11.19175,4,"age1_any"
"[0, 'Jam']","comprehension_check_1",3,"","","any_QUD",11.19175,4,"age1_any"
"[1522, 'No']","practice_trial",3,"13","none.wav","any_QUD",11.19175,6,"age1_any"
"[1540, 'Yes']","practice_trial",3,"13","all.wav","any_QUD",11.19175,7,"age1_any"
"[1636, 'No']","practice_trial",3,"0","all.wav","any_QUD",11.19175,8,"age1_any"
"[1612, 'Yes']","practice_trial",3,"0","none.wav","any_QUD",11.19175,9,"age1_any"
"[2459, 'Yes']","trial_1",3,"13","summa.wav","any_QUD",11.19175,11,"age1_any"
"[1675, 'Yes']","trial_1",3,"0","none.wav","any_QUD",11.19175,12,"age1_any"
"[3044, 'Yes']","trial_1",3,"8","eight.wav","any_QUD",11.19175,13,"age1_any"
"[1795, 'No']","trial_1",3,"0","summa.wav","any_QUD",11.19175,14,"age1_any"
"[1614, 'No']","trial_1",3,"2","all.wav","any_QUD",11.19175,15,"age1_any"
"[2132, 'Yes']","trial_1",3,"8","summa.wav","any_QUD",11.19175,16,"age1_any"
