"","image","Answer.condition","workerid","Answer.time_in_minutes","audio","rawRT","key","slide_number","slide_type"
"166","0","any_QUD",2,7.51611666666667,"all.wav","3469","Yes",8,"practice_trial"
"167","0","any_QUD",2,7.51611666666667,"none.wav","3308","Yes",9,"practice_trial"
"168","8","any_QUD",2,7.51611666666667,"none.wav","1582050091670","Yes",11,"trial_1"
"169","13","any_QUD",2,7.51611666666667,"all.wav","1582050098315","Yes",12,"trial_1"
"170","2","any_QUD",2,7.51611666666667,"two.wav","1582050101270","Yes",13,"trial_1"
"171","0","any_QUD",2,7.51611666666667,"none.wav","2024","Yes",14,"trial_1"
"172","8","any_QUD",2,7.51611666666667,"thirteen.wav","2336","Yes",15,"trial_1"
"173","5","any_QUD",2,7.51611666666667,"four.wav","1952","Yes",16,"trial_1"
"174","5","any_QUD",2,7.51611666666667,"all.wav","1576","Late",17,"trial_1"
"175","0","any_QUD",2,7.51611666666667,"five.wav","2506","Yes",18,"trial_1"
"176","8","any_QUD",2,7.51611666666667,"summa.wav","1582050123755","Yes",19,"trial_1"
"177","2","any_QUD",2,7.51611666666667,"two.wav","1451","Yes",20,"trial_1"
"178","13","any_QUD",2,7.51611666666667,"eight.wav","1553","Yes",21,"trial_1"
"179","13","any_QUD",2,7.51611666666667,"summa.wav","1671","Late",22,"trial_1"
"180","13","any_QUD",2,7.51611666666667,"summa.wav","2188","Yes",23,"trial_1"
"181","0","any_QUD",2,7.51611666666667,"summa.wav","1851","Yes",24,"trial_1"
"182","8","any_QUD",2,7.51611666666667,"eight.wav","2122","Yes",25,"trial_1"
"183","2","any_QUD",2,7.51611666666667,"all.wav","1715","Yes",26,"trial_1"
"184","8","any_QUD",2,7.51611666666667,"eleven.wav","1373","Yes",27,"trial_1"
"185","13","any_QUD",2,7.51611666666667,"all.wav","1629","Yes",28,"trial_1"
"186","0","any_QUD",2,7.51611666666667,"none.wav","1763","Late",29,"trial_1"
"187","0","any_QUD",2,7.51611666666667,"summa.wav","1463","Late",30,"trial_1"
"188","13","any_QUD",2,7.51611666666667,"all.wav","1582050159351","Yes",31,"trial_1"
"189","2","any_QUD",2,7.51611666666667,"two.wav","1866","Yes",32,"trial_1"
"190","11","any_QUD",2,7.51611666666667,"seven.wav","1785","Yes",33,"trial_1"
"191","0","any_QUD",2,7.51611666666667,"all.wav","1521","Late",34,"trial_1"
"192","8","any_QUD",2,7.51611666666667,"eight.wav","1200","Yes",35,"trial_1"
"193","13","any_QUD",2,7.51611666666667,"all.wav","1876","Late",36,"trial_1"
"194","0","any_QUD",2,7.51611666666667,"eleven.wav","1582050175351","Yes",37,"trial_1"
"195","5","any_QUD",2,7.51611666666667,"five.wav","1468","Yes",38,"trial_1"
"196","2","any_QUD",2,7.51611666666667,"two.wav","2193","Yes",39,"trial_1"
"197","13","any_QUD",2,7.51611666666667,"summa.wav","1952","Yes",40,"trial_1"
"198","0","any_QUD",2,7.51611666666667,"none.wav","1953","Yes",41,"trial_1"
"199","11","any_QUD",2,7.51611666666667,"eleven.wav","1872","Yes",42,"trial_1"
"200","5","any_QUD",2,7.51611666666667,"ten.wav","1872","Yes",43,"trial_1"
"201","13","any_QUD",2,7.51611666666667,"summa.wav","1632","Yes",44,"trial_1"
"202","11","any_QUD",2,7.51611666666667,"all.wav","1430","Late",45,"trial_1"
"203","5","any_QUD",2,7.51611666666667,"summa.wav","1582050200072","Yes",46,"trial_1"
"204","","any_QUD",2,7.51611666666667,"","0","Jam",47,"comprehension_check_2"
"205","5","any_QUD",2,7.51611666666667,"all.wav","592","Yes",48,"trial_2"
"206","13","any_QUD",2,7.51611666666667,"all.wav","1582050207590","Yes",49,"trial_2"
"207","13","any_QUD",2,7.51611666666667,"all.wav","2510","Yes",50,"trial_2"
"208","11","any_QUD",2,7.51611666666667,"one.wav","4001","Late",51,"trial_2"
"209","2","any_QUD",2,7.51611666666667,"summa.wav","1582050230237","Yes",52,"trial_2"
"210","8","any_QUD",2,7.51611666666667,"eight.wav","1624","Yes",53,"trial_2"
"211","0","any_QUD",2,7.51611666666667,"three.wav","1409","Yes",54,"trial_2"
"212","5","any_QUD",2,7.51611666666667,"two.wav","1597","Late",55,"trial_2"
"213","8","any_QUD",2,7.51611666666667,"all.wav","1675","Late",56,"trial_2"
"214","0","any_QUD",2,7.51611666666667,"summa.wav","1447","Late",57,"trial_2"
"215","0","any_QUD",2,7.51611666666667,"none.wav","1582050249523","Yes",58,"trial_2"
"216","5","any_QUD",2,7.51611666666667,"five.wav","1582050252149","Yes",59,"trial_2"
"217","2","any_QUD",2,7.51611666666667,"two.wav","1303","Yes",60,"trial_2"
"218","8","any_QUD",2,7.51611666666667,"eight.wav","1530","Yes",61,"trial_2"
"219","13","any_QUD",2,7.51611666666667,"summa.wav","1697","Late",62,"trial_2"
"220","13","any_QUD",2,7.51611666666667,"summa.wav","1582050266563","Yes",63,"trial_2"
"221","13","any_QUD",2,7.51611666666667,"none.wav","1470","Yes",64,"trial_2"
"222","13","any_QUD",2,7.51611666666667,"ten.wav","1548","Yes",65,"trial_2"
"223","13","any_QUD",2,7.51611666666667,"all.wav","1550","Yes",66,"trial_2"
"224","11","any_QUD",2,7.51611666666667,"all.wav","1519","Late",67,"trial_2"
"225","11","any_QUD",2,7.51611666666667,"summa.wav","1582050283589","Yes",68,"trial_2"
"226","5","any_QUD",2,7.51611666666667,"nine.wav","1550","Yes",69,"trial_2"
"227","13","any_QUD",2,7.51611666666667,"summa.wav","1393","Yes",70,"trial_2"
"228","11","any_QUD",2,7.51611666666667,"eleven.wav","1389","Yes",71,"trial_2"
"229","0","any_QUD",2,7.51611666666667,"all.wav","1681","Late",72,"trial_2"
"230","13","any_QUD",2,7.51611666666667,"five.wav","1684","Late",73,"trial_2"
"231","2","any_QUD",2,7.51611666666667,"two.wav","1582050303109","Yes",74,"trial_2"
"232","13","any_QUD",2,7.51611666666667,"all.wav","1553","Yes",75,"trial_2"
"233","2","any_QUD",2,7.51611666666667,"twelve.wav","1310","Yes",76,"trial_2"
"234","13","any_QUD",2,7.51611666666667,"summa.wav","1391","Yes",77,"trial_2"
"235","0","any_QUD",2,7.51611666666667,"summa.wav","1309","Yes",78,"trial_2"
