"","audio","Answer.time_in_minutes","rawRT","key","workerid","slide_type","slide_number","Answer.condition","image","speaker_cond"
"65","all.wav",10.3546,"1421","Yes",0,"trial_2",68,"all_QUD","13","all"
"66","twelve.wav",10.3546,"1696","No",0,"trial_2",69,"all_QUD","2","all"
"67","all.wav",10.3546,"1685","Yes",0,"trial_2",70,"all_QUD","13","all"
"68","two.wav",10.3546,"1385","Yes",0,"trial_2",71,"all_QUD","2","all"
"69","five.wav",10.3546,"1936","No",0,"trial_2",72,"all_QUD","13","all"
"70","all.wav",10.3546,"1993","No",0,"trial_2",73,"all_QUD","11","all"
"71","some.wav",10.3546,"1623","Yes",0,"trial_2",74,"all_QUD","13","all"
"72","none.wav",10.3546,"1560","Yes",0,"trial_2",75,"all_QUD","2","all"
"73","all.wav",10.3546,"1607","No",0,"trial_2",76,"all_QUD","0","all"
"74","some.wav",10.3546,"1384","Yes",0,"trial_2",77,"all_QUD","0","all"
"75","five.wav",10.3546,"1609","Yes",0,"trial_2",78,"all_QUD","5","all"
"76","two.wav",10.3546,"1890","No",0,"trial_2",79,"all_QUD","8","all"
"77","nine.wav",10.3546,"1766","No",0,"trial_2",80,"all_QUD","5","all"
"78","some.wav",10.3546,"1798","Yes",0,"trial_2",81,"all_QUD","13","all"
"79","some.wav",10.3546,"1593","Yes",0,"trial_2",82,"all_QUD","11","all"
"80","none.wav",10.3546,"1867","Yes",0,"trial_2",83,"all_QUD","0","all"
"81","",7.63001666666667,"0","Barbara",1,"bot_check",1,"all_QUD","Barbara","all"
"82","",7.63001666666667,"0","Four",1,"audio_check",3,"all_QUD","","all"
"83","",7.63001666666667,"0","Empty",1,"comprehension_check_1",4,"all_QUD","","all"
"84","none.wav",7.63001666666667,"1815","No",1,"practice_trial",6,"all_QUD","13","all"
"85","all.wav",7.63001666666667,"2281","Yes",1,"practice_trial",7,"all_QUD","13","all"
"86","all.wav",7.63001666666667,"1656","No",1,"practice_trial",8,"all_QUD","0","all"
"87","none.wav",7.63001666666667,"1674","Yes",1,"practice_trial",9,"all_QUD","0","all"
"88","two.wav",7.63001666666667,"2187","Yes",1,"trial_1",11,"all_QUD","2","all"
"89","eight.wav",7.63001666666667,"1949","No",1,"trial_1",12,"all_QUD","13","all"
"90","some.wav",7.63001666666667,"2019","No",1,"trial_1",13,"all_QUD","13","all"
"91","all.wav",7.63001666666667,"1498","Yes",1,"trial_1",14,"all_QUD","13","all"
"92","five.wav",7.63001666666667,"1336","No",1,"trial_1",15,"all_QUD","0","all"
"93","eight.wav",7.63001666666667,"1922","Yes",1,"trial_1",16,"all_QUD","8","all"
"94","four.wav",7.63001666666667,"1644","No",1,"trial_1",17,"all_QUD","5","all"
"95","all.wav",7.63001666666667,"1116","No",1,"trial_1",18,"all_QUD","2","all"
"96","eleven.wav",7.63001666666667,"1554","No",1,"trial_1",19,"all_QUD","8","all"
"97","some.wav",7.63001666666667,"1114","No",1,"trial_1",20,"all_QUD","0","all"
"98","none.wav",7.63001666666667,"970","Yes",1,"trial_1",21,"all_QUD","0","all"
"99","all.wav",7.63001666666667,"835","Yes",1,"trial_1",22,"all_QUD","13","all"
"100","thirteen.wav",7.63001666666667,"1186","No",1,"trial_1",23,"all_QUD","8","all"
"101","two.wav",7.63001666666667,"1066","Yes",1,"trial_1",24,"all_QUD","2","all"
"102","none.wav",7.63001666666667,"1817","No",1,"trial_1",25,"all_QUD","8","all"
"103","some.wav",7.63001666666667,"3061","No",1,"trial_1",26,"all_QUD","13","all"
"104","some.wav",7.63001666666667,"1468","Yes",1,"trial_1",27,"all_QUD","8","all"
"105","all.wav",7.63001666666667,"1225","No",1,"trial_1",28,"all_QUD","5","all"
"106","all.wav",7.63001666666667,"1197","Yes",1,"trial_1",29,"all_QUD","13","all"
"107","eleven.wav",7.63001666666667,"1262","No",1,"trial_1",30,"all_QUD","0","all"
"108","two.wav",7.63001666666667,"858","Yes",1,"trial_1",31,"all_QUD","2","all"
"109","ten.wav",7.63001666666667,"1139","No",1,"trial_1",32,"all_QUD","5","all"
"110","none.wav",7.63001666666667,"1092","Yes",1,"trial_1",33,"all_QUD","0","all"
"111","some.wav",7.63001666666667,"1924","No",1,"trial_1",34,"all_QUD","13","all"
"112","none.wav",7.63001666666667,"891","Yes",1,"trial_1",35,"all_QUD","0","all"
"113","eleven.wav",7.63001666666667,"2618","Yes",1,"trial_1",36,"all_QUD","11","all"
"114","some.wav",7.63001666666667,"1395","Yes",1,"trial_1",37,"all_QUD","5","all"
"115","eight.wav",7.63001666666667,"972","Yes",1,"trial_1",38,"all_QUD","8","all"
"116","all.wav",7.63001666666667,"1033","No",1,"trial_1",39,"all_QUD","0","all"
"117","seven.wav",7.63001666666667,"2187","No",1,"trial_1",40,"all_QUD","11","all"
"118","some.wav",7.63001666666667,"961","No",1,"trial_1",41,"all_QUD","0","all"
"119","all.wav",7.63001666666667,"1370","No",1,"trial_1",42,"all_QUD","11","all"
"120","all.wav",7.63001666666667,"1188","Yes",1,"trial_1",43,"all_QUD","13","all"
"121","some.wav",7.63001666666667,"1746","No",1,"trial_1",44,"all_QUD","13","all"
"122","two.wav",7.63001666666667,"1029","Yes",1,"trial_1",45,"all_QUD","2","all"
"123","five.wav",7.63001666666667,"1161","Yes",1,"trial_1",46,"all_QUD","5","all"
"124","",7.63001666666667,"0","Empty",1,"comprehension_check_2",47,"all_QUD","","all"
"125","some.wav",7.63001666666667,"1085","No",1,"trial_2",48,"all_QUD","0","all"
"126","two.wav",7.63001666666667,"1053","No",1,"trial_2",49,"all_QUD","5","all"
"127","three.wav",7.63001666666667,"1059","No",1,"trial_2",50,"all_QUD","0","all"
"128","some.wav",7.63001666666667,"1401","Yes",1,"trial_2",51,"all_QUD","2","all"
"129","one.wav",7.63001666666667,"1507","No",1,"trial_2",52,"all_QUD","11","all"
"130","two.wav",7.63001666666667,"1117","Yes",1,"trial_2",53,"all_QUD","2","all"
"131","ten.wav",7.63001666666667,"3004","No",1,"trial_2",54,"all_QUD","13","all"
"132","all.wav",7.63001666666667,"883","Yes",1,"trial_2",55,"all_QUD","13","all"
"133","some.wav",7.63001666666667,"1545","No",1,"trial_2",56,"all_QUD","13","all"
"134","eight.wav",7.63001666666667,"1235","Yes",1,"trial_2",57,"all_QUD","8","all"
"135","five.wav",7.63001666666667,"971","Yes",1,"trial_2",58,"all_QUD","5","all"
"136","none.wav",7.63001666666667,"977","Yes",1,"trial_2",59,"all_QUD","0","all"
"137","all.wav",7.63001666666667,"1286","No",1,"trial_2",60,"all_QUD","5","all"
"138","some.wav",7.63001666666667,"1154","No",1,"trial_2",61,"all_QUD","13","all"
"139","all.wav",7.63001666666667,"1019","Yes",1,"trial_2",62,"all_QUD","13","all"
"140","eight.wav",7.63001666666667,"860","Yes",1,"trial_2",63,"all_QUD","8","all"
"141","all.wav",7.63001666666667,"1105","No",1,"trial_2",64,"all_QUD","8","all"
"142","none.wav",7.63001666666667,"1378","No",1,"trial_2",65,"all_QUD","13","all"
"143","nine.wav",7.63001666666667,"1321","No",1,"trial_2",66,"all_QUD","5","all"
"144","none.wav",7.63001666666667,"1082","No",1,"trial_2",67,"all_QUD","2","all"
"145","all.wav",7.63001666666667,"1251","No",1,"trial_2",68,"all_QUD","11","all"
"146","all.wav",7.63001666666667,"1163","No",1,"trial_2",69,"all_QUD","0","all"
"147","two.wav",7.63001666666667,"940","Yes",1,"trial_2",70,"all_QUD","2","all"
"148","all.wav",7.63001666666667,"837","Yes",1,"trial_2",71,"all_QUD","13","all"
"149","five.wav",7.63001666666667,"1108","No",1,"trial_2",72,"all_QUD","13","all"
"150","five.wav",7.63001666666667,"853","Yes",1,"trial_2",73,"all_QUD","5","all"
"151","some.wav",7.63001666666667,"1218","No",1,"trial_2",74,"all_QUD","13","all"
"152","some.wav",7.63001666666667,"1109","No",1,"trial_2",75,"all_QUD","13","all"
"153","all.wav",7.63001666666667,"1113","Yes",1,"trial_2",76,"all_QUD","13","all"
"154","none.wav",7.63001666666667,"1564","Yes",1,"trial_2",77,"all_QUD","0","all"
"155","some.wav",7.63001666666667,"1470","Yes",1,"trial_2",78,"all_QUD","11","all"
"156","some.wav",7.63001666666667,"2747","No",1,"trial_2",79,"all_QUD","0","all"
"157","eleven.wav",7.63001666666667,"3635","Yes",1,"trial_2",80,"all_QUD","11","all"
"158","two.wav",7.63001666666667,"1364","No",1,"trial_2",81,"all_QUD","8","all"
"159","twelve.wav",7.63001666666667,"1114","No",1,"trial_2",82,"all_QUD","2","all"
"160","eight.wav",7.63001666666667,"869","Yes",1,"trial_2",83,"all_QUD","8","all"
"161","",15.1379666666667,"0","Elizabeth",2,"bot_check",1,"all_QUD","Elizabeth","all"
"162","",15.1379666666667,"0","Four",2,"audio_check",3,"all_QUD","","all"
"163","",15.1379666666667,"0","Empty",2,"comprehension_check_1",4,"all_QUD","","all"
"164","none.wav",15.1379666666667,"34192","No",2,"practice_trial",6,"all_QUD","13","all"
"165","all.wav",15.1379666666667,"3821","No",2,"practice_trial",7,"all_QUD","13","all"
"166","all.wav",15.1379666666667,"4520","No",2,"practice_trial",8,"all_QUD","0","all"
"167","none.wav",15.1379666666667,"3398","Yes",2,"practice_trial",9,"all_QUD","0","all"
"168","some.wav",15.1379666666667,"7335","Yes",2,"trial_1",11,"all_QUD","13","all"
"169","five.wav",15.1379666666667,"3686","Yes",2,"trial_1",12,"all_QUD","0","all"
"170","some.wav",15.1379666666667,"1748","Yes",2,"trial_1",13,"all_QUD","8","all"
"171","thirteen.wav",15.1379666666667,"2808","Yes",2,"trial_1",14,"all_QUD","8","all"
"172","all.wav",15.1379666666667,"5484","Yes",2,"trial_1",15,"all_QUD","13","all"
"173","two.wav",15.1379666666667,"1461","Yes",2,"trial_1",16,"all_QUD","2","all"
"174","all.wav",15.1379666666667,"1832","Yes",2,"trial_1",17,"all_QUD","13","all"
"175","all.wav",15.1379666666667,"1781","No",2,"trial_1",18,"all_QUD","2","all"
"176","none.wav",15.1379666666667,"2239","No",2,"trial_1",19,"all_QUD","8","all"
"177","four.wav",15.1379666666667,"2468","No",2,"trial_1",20,"all_QUD","5","all"
"178","two.wav",15.1379666666667,"1601","Yes",2,"trial_1",21,"all_QUD","2","all"
"179","none.wav",15.1379666666667,"2393","Yes",2,"trial_1",22,"all_QUD","0","all"
"180","all.wav",15.1379666666667,"2372","No",2,"trial_1",23,"all_QUD","5","all"
"181","eleven.wav",15.1379666666667,"5046","No",2,"trial_1",24,"all_QUD","8","all"
"182","some.wav",15.1379666666667,"2685","No",2,"trial_1",25,"all_QUD","0","all"
"183","eight.wav",15.1379666666667,"2823","No",2,"trial_1",26,"all_QUD","13","all"
"184","eight.wav",15.1379666666667,"2433","No",2,"trial_1",27,"all_QUD","8","all"
"185","some.wav",15.1379666666667,"2658","No",2,"trial_1",28,"all_QUD","13","all"
"186","ten.wav",15.1379666666667,"2057","No",2,"trial_1",29,"all_QUD","5","all"
"187","some.wav",15.1379666666667,"2157","Yes",2,"trial_1",30,"all_QUD","5","all"
