"audio","Answer.time_in_minutes","response","workerid","slide_type","slide_number","Answer.condition","image","speaker_cond"
"some.wav",10.3546,"[1423, 'Yes']",0,"trial_2",65,"all_QUD","2","all"
"eight.wav",10.3546,"[2267, 'Yes']",0,"trial_2",66,"all_QUD","8","all"
"eleven.wav",10.3546,"[4301, 'Yes']",0,"trial_2",67,"all_QUD","11","all"
"all.wav",10.3546,"[1421, 'Yes']",0,"trial_2",68,"all_QUD","13","all"
"twelve.wav",10.3546,"[1696, 'No']",0,"trial_2",69,"all_QUD","2","all"
"all.wav",10.3546,"[1685, 'Yes']",0,"trial_2",70,"all_QUD","13","all"
"two.wav",10.3546,"[1385, 'Yes']",0,"trial_2",71,"all_QUD","2","all"
"five.wav",10.3546,"[1936, 'No']",0,"trial_2",72,"all_QUD","13","all"
"all.wav",10.3546,"[1993, 'No']",0,"trial_2",73,"all_QUD","11","all"
"some.wav",10.3546,"[1623, 'Yes']",0,"trial_2",74,"all_QUD","13","all"
"none.wav",10.3546,"[1560, 'Yes']",0,"trial_2",75,"all_QUD","2","all"
"all.wav",10.3546,"[1607, 'No']",0,"trial_2",76,"all_QUD","0","all"
"some.wav",10.3546,"[1384, 'Yes']",0,"trial_2",77,"all_QUD","0","all"
"five.wav",10.3546,"[1609, 'Yes']",0,"trial_2",78,"all_QUD","5","all"
"two.wav",10.3546,"[1890, 'No']",0,"trial_2",79,"all_QUD","8","all"
"nine.wav",10.3546,"[1766, 'No']",0,"trial_2",80,"all_QUD","5","all"
"some.wav",10.3546,"[1798, 'Yes']",0,"trial_2",81,"all_QUD","13","all"
"some.wav",10.3546,"[1593, 'Yes']",0,"trial_2",82,"all_QUD","11","all"
"none.wav",10.3546,"[1867, 'Yes']",0,"trial_2",83,"all_QUD","0","all"
"",7.63001666666667,"[0, 'Barbara']",1,"bot_check",1,"all_QUD","Barbara","all"
"",7.63001666666667,"[0, 'Four']",1,"audio_check",3,"all_QUD","","all"
"",7.63001666666667,"[0, 'Empty']",1,"comprehension_check_1",4,"all_QUD","","all"
"none.wav",7.63001666666667,"[1815, 'No']",1,"practice_trial",6,"all_QUD","13","all"
"all.wav",7.63001666666667,"[2281, 'Yes']",1,"practice_trial",7,"all_QUD","13","all"
"all.wav",7.63001666666667,"[1656, 'No']",1,"practice_trial",8,"all_QUD","0","all"
"none.wav",7.63001666666667,"[1674, 'Yes']",1,"practice_trial",9,"all_QUD","0","all"
"two.wav",7.63001666666667,"[2187, 'Yes']",1,"trial_1",11,"all_QUD","2","all"
"eight.wav",7.63001666666667,"[1949, 'No']",1,"trial_1",12,"all_QUD","13","all"
"some.wav",7.63001666666667,"[2019, 'No']",1,"trial_1",13,"all_QUD","13","all"
"all.wav",7.63001666666667,"[1498, 'Yes']",1,"trial_1",14,"all_QUD","13","all"
"five.wav",7.63001666666667,"[1336, 'No']",1,"trial_1",15,"all_QUD","0","all"
"eight.wav",7.63001666666667,"[1922, 'Yes']",1,"trial_1",16,"all_QUD","8","all"
"four.wav",7.63001666666667,"[1644, 'No']",1,"trial_1",17,"all_QUD","5","all"
"all.wav",7.63001666666667,"[1116, 'No']",1,"trial_1",18,"all_QUD","2","all"
"eleven.wav",7.63001666666667,"[1554, 'No']",1,"trial_1",19,"all_QUD","8","all"
"some.wav",7.63001666666667,"[1114, 'No']",1,"trial_1",20,"all_QUD","0","all"
"none.wav",7.63001666666667,"[970, 'Yes']",1,"trial_1",21,"all_QUD","0","all"
"all.wav",7.63001666666667,"[835, 'Yes']",1,"trial_1",22,"all_QUD","13","all"
"thirteen.wav",7.63001666666667,"[1186, 'No']",1,"trial_1",23,"all_QUD","8","all"
"two.wav",7.63001666666667,"[1066, 'Yes']",1,"trial_1",24,"all_QUD","2","all"
"none.wav",7.63001666666667,"[1817, 'No']",1,"trial_1",25,"all_QUD","8","all"
"some.wav",7.63001666666667,"[3061, 'No']",1,"trial_1",26,"all_QUD","13","all"
"some.wav",7.63001666666667,"[1468, 'Yes']",1,"trial_1",27,"all_QUD","8","all"
"all.wav",7.63001666666667,"[1225, 'No']",1,"trial_1",28,"all_QUD","5","all"
"all.wav",7.63001666666667,"[1197, 'Yes']",1,"trial_1",29,"all_QUD","13","all"
"eleven.wav",7.63001666666667,"[1262, 'No']",1,"trial_1",30,"all_QUD","0","all"
"two.wav",7.63001666666667,"[858, 'Yes']",1,"trial_1",31,"all_QUD","2","all"
"ten.wav",7.63001666666667,"[1139, 'No']",1,"trial_1",32,"all_QUD","5","all"
"none.wav",7.63001666666667,"[1092, 'Yes']",1,"trial_1",33,"all_QUD","0","all"
"some.wav",7.63001666666667,"[1924, 'No']",1,"trial_1",34,"all_QUD","13","all"
