"audio","response","slide_number","image","workerid","Answer.time_in_minutes","slide_type","Answer.condition","speaker_cond"
"one.wav","[1732, 'No']",63,"11",0,11.48345,"trial_2","all_QUD","allQUD"
"none.wav","[1835, 'No']",64,"13",0,11.48345,"trial_2","all_QUD","allQUD"
"summa.wav","[2294, 'No']",65,"13",0,11.48345,"trial_2","all_QUD","allQUD"
"two.wav","[2214, 'Yes']",66,"2",0,11.48345,"trial_2","all_QUD","allQUD"
"all.wav","[1918, 'No']",67,"11",0,11.48345,"trial_2","all_QUD","allQUD"
"summa.wav","[1538, 'No']",68,"0",0,11.48345,"trial_2","all_QUD","allQUD"
"eleven.wav","[4421, 'Yes']",69,"11",0,11.48345,"trial_2","all_QUD","allQUD"
"summa.wav","[2225, 'No']",70,"13",0,11.48345,"trial_2","all_QUD","allQUD"
"two.wav","[1818, 'No']",71,"8",0,11.48345,"trial_2","all_QUD","allQUD"
"all.wav","[1492, 'Yes']",72,"13",0,11.48345,"trial_2","all_QUD","allQUD"
"none.wav","[2288, 'Yes']",73,"0",0,11.48345,"trial_2","all_QUD","allQUD"
"all.wav","[1654, 'No']",74,"0",0,11.48345,"trial_2","all_QUD","allQUD"
"twelve.wav","[3162, 'No']",75,"2",0,11.48345,"trial_2","all_QUD","allQUD"
"none.wav","[1579, 'No']",76,"2",0,11.48345,"trial_2","all_QUD","allQUD"
"all.wav","[1302, 'Yes']",77,"13",0,11.48345,"trial_2","all_QUD","allQUD"
"summa.wav","[1619, 'No']",78,"13",0,11.48345,"trial_2","all_QUD","allQUD"
"five.wav","[2095, 'Yes']",79,"5",0,11.48345,"trial_2","all_QUD","allQUD"
"five.wav","[1781, 'No']",80,"13",0,11.48345,"trial_2","all_QUD","allQUD"
"eight.wav","[4199, 'Yes']",81,"8",0,11.48345,"trial_2","all_QUD","allQUD"
"nine.wav","[1621, 'No']",82,"5",0,11.48345,"trial_2","all_QUD","allQUD"
"summa.wav","[3274, 'No']",83,"11",0,11.48345,"trial_2","all_QUD","allQUD"
"","[0, 'Linda']",1,"Linda",1,23.3672,"bot_check","all_QUD","allQUD"
"","[0, 'Four']",3,"",1,23.3672,"audio_check","all_QUD","allQUD"
"","[0, 'Empty']",4,"",1,23.3672,"comprehension_check_1","all_QUD","allQUD"
"none.wav","[1561658969597, 'No']",6,"13",1,23.3672,"practice_trial","all_QUD","allQUD"
"all.wav","[1561658975065, 'Yes']",7,"13",1,23.3672,"practice_trial","all_QUD","allQUD"
"all.wav","[1561658981921, 'No']",8,"0",1,23.3672,"practice_trial","all_QUD","allQUD"
"none.wav","[1561658987257, 'Yes']",9,"0",1,23.3672,"practice_trial","all_QUD","allQUD"
"thirteen.wav","[5390, 'No']",11,"11",1,23.3672,"trial_1","all_QUD","allQUD"
"two.wav","[2337, 'Yes']",12,"2",1,23.3672,"trial_1","all_QUD","allQUD"
"two.wav","[1922, 'Yes']",13,"2",1,23.3672,"trial_1","all_QUD","allQUD"
"five.wav","[1740, 'No']",14,"0",1,23.3672,"trial_1","all_QUD","allQUD"
"summa.wav","[1981, 'No']",15,"0",1,23.3672,"trial_1","all_QUD","allQUD"
"all.wav","[1650, 'Yes']",16,"13",1,23.3672,"trial_1","all_QUD","allQUD"
"all.wav","[1579, 'Yes']",17,"13",1,23.3672,"trial_1","all_QUD","allQUD"
"eight.wav","[7094, 'Yes']",18,"13",1,23.3672,"trial_1","all_QUD","allQUD"
"eleven.wav","[3748, 'No']",19,"8",1,23.3672,"trial_1","all_QUD","allQUD"
"none.wav","[3072, 'Yes']",20,"0",1,23.3672,"trial_1","all_QUD","allQUD"
"summa.wav","[2563, 'Yes']",21,"8",1,23.3672,"trial_1","all_QUD","allQUD"
"summa.wav","[3909, 'No']",22,"13",1,23.3672,"trial_1","all_QUD","allQUD"
"summa.wav","[4189, 'No']",23,"13",1,23.3672,"trial_1","all_QUD","allQUD"
"all.wav","[1936, 'No']",24,"5",1,23.3672,"trial_1","all_QUD","allQUD"
"none.wav","[1619, 'No']",25,"8",1,23.3672,"trial_1","all_QUD","allQUD"
"four.wav","[6087, 'Yes']",26,"5",1,23.3672,"trial_1","all_QUD","allQUD"
"eight.wav","[3694, 'Yes']",27,"8",1,23.3672,"trial_1","all_QUD","allQUD"
"all.wav","[1779, 'No']",28,"2",1,23.3672,"trial_1","all_QUD","allQUD"
"none.wav","[1820, 'No']",29,"11",1,23.3672,"trial_1","all_QUD","allQUD"
"ten.wav","[2154, 'No']",30,"5",1,23.3672,"trial_1","all_QUD","allQUD"
"summa.wav","[1977, 'Yes']",31,"5",1,23.3672,"trial_1","all_QUD","allQUD"
"eight.wav","[3473, 'Yes']",32,"8",1,23.3672,"trial_1","all_QUD","allQUD"
"summa.wav","[1672, 'No']",33,"0",1,23.3672,"trial_1","all_QUD","allQUD"
"all.wav","[1430, 'Yes']",34,"13",1,23.3672,"trial_1","all_QUD","allQUD"
"two.wav","[1882, 'Yes']",35,"2",1,23.3672,"trial_1","all_QUD","allQUD"
"all.wav","[1880, 'Yes']",36,"13",1,23.3672,"trial_1","all_QUD","allQUD"
"seven.wav","[5292, 'Yes']",37,"11",1,23.3672,"trial_1","all_QUD","allQUD"
"summa.wav","[2672, 'No']",38,"13",1,23.3672,"trial_1","all_QUD","allQUD"
"eleven.wav","[5032, 'Yes']",39,"11",1,23.3672,"trial_1","all_QUD","allQUD"
"all.wav","[1646, 'No']",40,"11",1,23.3672,"trial_1","all_QUD","allQUD"
"two.wav","[1783, 'Yes']",41,"2",1,23.3672,"trial_1","all_QUD","allQUD"
"summa.wav","[1758, 'No']",42,"13",1,23.3672,"trial_1","all_QUD","allQUD"
"eleven.wav","[2555, 'No']",43,"0",1,23.3672,"trial_1","all_QUD","allQUD"
"none.wav","[1745, 'Yes']",44,"0",1,23.3672,"trial_1","all_QUD","allQUD"
"all.wav","[1567, 'No']",45,"0",1,23.3672,"trial_1","all_QUD","allQUD"
"five.wav","[1880, 'Yes']",46,"5",1,23.3672,"trial_1","all_QUD","allQUD"
"","[0, 'Empty']",47,"",1,23.3672,"comprehension_check_2","all_QUD","allQUD"
"five.wav","[1976, 'Yes']",48,"5",1,23.3672,"trial_2","all_QUD","allQUD"
"all.wav","[1599, 'Yes']",49,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"summa.wav","[1726, 'No']",50,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"summa.wav","[1820, 'No']",51,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"two.wav","[2213, 'Yes']",52,"5",1,23.3672,"trial_2","all_QUD","allQUD"
"eight.wav","[3121, 'Yes']",53,"8",1,23.3672,"trial_2","all_QUD","allQUD"
"none.wav","[1971, 'No']",54,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"eight.wav","[2720, 'Yes']",55,"8",1,23.3672,"trial_2","all_QUD","allQUD"
"all.wav","[2615, 'No']",56,"8",1,23.3672,"trial_2","all_QUD","allQUD"
"three.wav","[1847, 'No']",57,"0",1,23.3672,"trial_2","all_QUD","allQUD"
"ten.wav","[5741, 'No']",58,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"all.wav","[1725, 'No']",59,"5",1,23.3672,"trial_2","all_QUD","allQUD"
"two.wav","[1954, 'Yes']",60,"2",1,23.3672,"trial_2","all_QUD","allQUD"
"none.wav","[1684, 'Yes']",61,"0",1,23.3672,"trial_2","all_QUD","allQUD"
"one.wav","[2984, 'Yes']",62,"11",1,23.3672,"trial_2","all_QUD","allQUD"
"summa.wav","[1812, 'No']",63,"0",1,23.3672,"trial_2","all_QUD","allQUD"
"all.wav","[1648, 'Yes']",64,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"summa.wav","[1850, 'Yes']",65,"2",1,23.3672,"trial_2","all_QUD","allQUD"
"nine.wav","[2365, 'No']",66,"5",1,23.3672,"trial_2","all_QUD","allQUD"
"twelve.wav","[2357, 'No']",67,"2",1,23.3672,"trial_2","all_QUD","allQUD"
"five.wav","[3679, 'No']",68,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"all.wav","[1688, 'No']",69,"0",1,23.3672,"trial_2","all_QUD","allQUD"
"all.wav","[1567, 'Yes']",70,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"two.wav","[1590, 'Yes']",71,"2",1,23.3672,"trial_2","all_QUD","allQUD"
"summa.wav","[1758, 'No']",72,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"none.wav","[1840, 'No']",73,"2",1,23.3672,"trial_2","all_QUD","allQUD"
"summa.wav","[1743, 'No']",74,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"eight.wav","[2791, 'Yes']",75,"8",1,23.3672,"trial_2","all_QUD","allQUD"
"eleven.wav","[4525, 'Yes']",76,"11",1,23.3672,"trial_2","all_QUD","allQUD"
"summa.wav","[1637, 'No']",77,"0",1,23.3672,"trial_2","all_QUD","allQUD"
"two.wav","[2084, 'Yes']",78,"8",1,23.3672,"trial_2","all_QUD","allQUD"
"five.wav","[1696, 'Yes']",79,"5",1,23.3672,"trial_2","all_QUD","allQUD"
"none.wav","[1973, 'Yes']",80,"0",1,23.3672,"trial_2","all_QUD","allQUD"
"all.wav","[1685, 'No']",81,"11",1,23.3672,"trial_2","all_QUD","allQUD"
"summa.wav","[1727, 'Yes']",82,"11",1,23.3672,"trial_2","all_QUD","allQUD"
"all.wav","[1578, 'Yes']",83,"13",1,23.3672,"trial_2","all_QUD","allQUD"
"","[0, 'Margaret']",1,"Margaret",2,14.1284833333333,"bot_check","all_QUD","allQUD"
"","[0, 'Four']",3,"",2,14.1284833333333,"audio_check","all_QUD","allQUD"
"","[0, 'Silent']",4,"",2,14.1284833333333,"comprehension_check_1","all_QUD","allQUD"
"","[0, 'Empty']",4,"",2,14.1284833333333,"comprehension_check_1","all_QUD","allQUD"
"none.wav","[1561659288872, 'No']",6,"13",2,14.1284833333333,"practice_trial","all_QUD","allQUD"
"all.wav","[1561659301154, 'Yes']",7,"13",2,14.1284833333333,"practice_trial","all_QUD","allQUD"
"all.wav","[1561659329009, 'No']",8,"0",2,14.1284833333333,"practice_trial","all_QUD","allQUD"
"none.wav","[1561659334842, 'Yes']",9,"0",2,14.1284833333333,"practice_trial","all_QUD","allQUD"
"four.wav","[2757, 'No']",11,"5",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"summa.wav","[2045, 'No']",12,"0",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"eleven.wav","[2226, 'No']",13,"8",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"eight.wav","[1794, 'Yes']",14,"8",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"all.wav","[1711, 'Yes']",15,"13",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"two.wav","[1680, 'Yes']",16,"2",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"eight.wav","[2102, 'No']",17,"13",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"all.wav","[10335, 'Yes']",18,"13",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1962, 'Yes']",19,"8",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"all.wav","[1968, 'No']",20,"5",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1796, 'No']",21,"13",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"none.wav","[1932, 'Yes']",22,"0",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"two.wav","[1584, 'Yes']",23,"2",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"thirteen.wav","[2060, 'No']",24,"11",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1744, 'No']",25,"13",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"five.wav","[1946, 'No']",26,"0",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"none.wav","[1552, 'No']",27,"8",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"all.wav","[1587, 'No']",28,"2",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1649, 'No']",29,"13",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1175, 'No']",30,"13",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"five.wav","[983, 'Yes']",31,"5",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"all.wav","[870, 'Yes']",32,"13",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"all.wav","[881, 'No']",33,"0",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"seven.wav","[1525, 'Yes']",34,"11",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"two.wav","[1103, 'Yes']",35,"2",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"ten.wav","[1060, 'No']",36,"5",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1032, 'No']",37,"0",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"all.wav","[811, 'Yes']",38,"13",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"all.wav","[1237, 'No']",39,"11",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"two.wav","[908, 'Yes']",40,"2",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"none.wav","[6755, 'Yes']",41,"0",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"eleven.wav","[7095, 'Yes']",42,"11",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"eleven.wav","[1180, 'No']",43,"0",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"none.wav","[1028, 'No']",44,"11",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"eight.wav","[1073, 'Yes']",45,"8",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1098, 'No']",46,"5",2,14.1284833333333,"trial_1","all_QUD","allQUD"
"","[0, 'Empty']",47,"",2,14.1284833333333,"comprehension_check_2","all_QUD","allQUD"
"two.wav","[1278, 'No']",48,"5",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"eight.wav","[1186, 'Yes']",49,"8",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"none.wav","[1035, 'No']",50,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"all.wav","[1251, 'No']",51,"8",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"one.wav","[1210, 'No']",52,"11",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"summa.wav","[903, 'No']",53,"0",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"summa.wav","[910, 'No']",54,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"five.wav","[905, 'Yes']",55,"5",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"all.wav","[762, 'Yes']",56,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"all.wav","[847, 'No']",57,"5",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"summa.wav","[948, 'No']",58,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"two.wav","[873, 'Yes']",59,"2",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"none.wav","[1153, 'Yes']",60,"0",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"ten.wav","[1144, 'No']",61,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"all.wav","[819, 'Yes']",62,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"eight.wav","[1134, 'Yes']",63,"8",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"summa.wav","[1243, 'Yes']",64,"2",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"three.wav","[1145, 'No']",65,"0",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"all.wav","[870, 'No']",66,"0",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"none.wav","[1046, 'Yes']",67,"0",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"all.wav","[1505, 'No']",68,"11",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"twelve.wav","[1156, 'No']",69,"2",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"eleven.wav","[1332, 'Yes']",70,"11",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"two.wav","[940, 'Yes']",71,"2",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"all.wav","[855, 'Yes']",72,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"eight.wav","[839, 'Yes']",73,"8",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"all.wav","[777, 'Yes']",74,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"summa.wav","[966, 'No']",75,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"summa.wav","[1342, 'No']",76,"11",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"five.wav","[1156, 'Yes']",77,"5",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"five.wav","[932, 'No']",78,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"summa.wav","[1337, 'No']",79,"0",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"summa.wav","[1218, 'Yes']",80,"13",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"two.wav","[1234, 'No']",81,"8",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"none.wav","[1105, 'No']",82,"2",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"nine.wav","[1270, 'No']",83,"5",2,14.1284833333333,"trial_2","all_QUD","allQUD"
"","[0, 'Jennifer']",1,"Jennifer",3,7.60498333333333,"bot_check","all_QUD","allQUD"
"","[0, 'Four']",3,"",3,7.60498333333333,"audio_check","all_QUD","allQUD"
"","[0, 'Empty']",4,"",3,7.60498333333333,"comprehension_check_1","all_QUD","allQUD"
"none.wav","[1561659735739, 'No']",6,"13",3,7.60498333333333,"practice_trial","all_QUD","allQUD"
"all.wav","[1561659741502, 'Yes']",7,"13",3,7.60498333333333,"practice_trial","all_QUD","allQUD"
"all.wav","[1561659747213, 'No']",8,"0",3,7.60498333333333,"practice_trial","all_QUD","allQUD"
"none.wav","[1561659752484, 'Yes']",9,"0",3,7.60498333333333,"practice_trial","all_QUD","allQUD"
"all.wav","[1660, 'Yes']",11,"13",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"eleven.wav","[2373, 'No']",12,"8",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"four.wav","[1526, 'No']",13,"5",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"all.wav","[1773, 'No']",14,"2",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"all.wav","[1734, 'No']",15,"5",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"two.wav","[1883, 'Yes']",16,"2",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"none.wav","[1328, 'Yes']",17,"0",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1417, 'No']",18,"0",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1308, 'No']",19,"13",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"eight.wav","[2302, 'No']",20,"13",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"all.wav","[2706, 'Yes']",21,"13",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1476, 'Yes']",22,"8",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"thirteen.wav","[2806, 'No']",23,"11",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"five.wav","[1111, 'No']",24,"0",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"eight.wav","[2337, 'Yes']",25,"8",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1306, 'No']",26,"13",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"none.wav","[2054, 'No']",27,"8",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"two.wav","[1455, 'Yes']",28,"2",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1296, 'No']",29,"13",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"none.wav","[1227, 'No']",30,"11",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"all.wav","[1072, 'Yes']",31,"13",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"eleven.wav","[2519, 'Yes']",32,"11",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1370, 'Yes']",33,"5",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"all.wav","[1861, 'Yes']",34,"11",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1706, 'No']",35,"0",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"seven.wav","[2528, 'No']",36,"11",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"all.wav","[1270, 'No']",37,"0",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"eleven.wav","[1242, 'No']",38,"0",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"two.wav","[1314, 'Yes']",39,"2",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"summa.wav","[1173, 'No']",40,"13",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"ten.wav","[1459, 'No']",41,"5",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"five.wav","[1259, 'Yes']",42,"5",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"eight.wav","[2059, 'Yes']",43,"8",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"two.wav","[1204, 'Yes']",44,"2",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"all.wav","[1222, 'Yes']",45,"13",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"none.wav","[2284, 'Yes']",46,"0",3,7.60498333333333,"trial_1","all_QUD","allQUD"
"","[0, 'Empty']",47,"",3,7.60498333333333,"comprehension_check_2","all_QUD","allQUD"
"summa.wav","[1806, 'Yes']",48,"2",3,7.60498333333333,"trial_2","all_QUD","allQUD"
"one.wav","[2841, 'No']",49,"11",3,7.60498333333333,"trial_2","all_QUD","allQUD"
"none.wav","[1970, 'No']",50,"13",3,7.60498333333333,"trial_2","all_QUD","allQUD"
"all.wav","[1754, 'No']",51,"8",3,7.60498333333333,"trial_2","all_QUD","allQUD"
"ten.wav","[2286, 'No']",52,"13",3,7.60498333333333,"trial_2","all_QUD","allQUD"
