"","X","Answer.time_in_minutes","rawRT","key","Answer.condition","slide_type","workerid","slide_number","image","audio","speaker_cond","logRT","rt"
"48",671,9.90831666666667,1658,"No","all_QUD","trial_1",8,31,"13","some.wav","allQUD",7.41336733569524,1658
"49",678,9.90831666666667,1258,"No","all_QUD","trial_1",8,38,"13","some.wav","allQUD",7.13727843726039,1258
"50",690,9.90831666666667,1233,"No","all_QUD","trial_2",8,50,"13","some.wav","allQUD",7.11720550316434,1233
"51",698,9.90831666666667,1342,"No","all_QUD","trial_2",8,58,"13","some.wav","allQUD",7.20191631753163,1342
"52",713,9.90831666666667,2500,"No","all_QUD","trial_2",8,73,"13","some.wav","allQUD",7.82404601085629,2500
"53",720,9.90831666666667,1288,"No","all_QUD","trial_2",8,80,"13","some.wav","allQUD",7.1608459066643,1288
"54",736,9.45505,1438,"No","all_QUD","trial_1",9,16,"13","some.wav","allQUD",7.27100853828099,1438
"55",748,9.45505,1359,"Yes","all_QUD","trial_1",9,28,"13","some.wav","allQUD",7.21450441415114,1359
"56",752,9.45505,2867,"No","all_QUD","trial_1",9,32,"13","some.wav","allQUD",7.96102146588337,2867
"57",757,9.45505,1266,"No","all_QUD","trial_1",9,37,"13","some.wav","allQUD",7.14361760270412,1266
"58",771,9.45505,1804,"No","all_QUD","trial_2",9,51,"13","some.wav","allQUD",7.49776170062257,1804
"59",776,9.45505,2115,"No","all_QUD","trial_2",9,56,"13","some.wav","allQUD",7.65681009148038,2115
"60",797,9.45505,2552,"Yes","all_QUD","trial_2",9,77,"13","some.wav","allQUD",7.84463264446468,2552
"61",801,9.45505,976,"No","all_QUD","trial_2",9,81,"13","some.wav","allQUD",6.88346258641309,976
"62",903,16.6576166666667,1612,"Yes","all_QUD","trial_1",11,22,"13","some.wav","allQUD",7.38523092306657,1612
"63",906,16.6576166666667,1081,"No","all_QUD","trial_1",11,25,"13","some.wav","allQUD",6.98564181763921,1081
"64",923,16.6576166666667,1087,"Yes","all_QUD","trial_1",11,42,"13","some.wav","allQUD",6.99117688712121,1087
"65",925,16.6576166666667,1177,"Yes","all_QUD","trial_1",11,44,"13","some.wav","allQUD",7.07072410726028,1177
"66",945,16.6576166666667,1492,"Yes","all_QUD","trial_2",11,64,"13","some.wav","allQUD",7.30787278076371,1492
"67",946,16.6576166666667,1107,"No","all_QUD","trial_2",11,65,"13","some.wav","allQUD",7.00940893270864,1107
"68",953,16.6576166666667,1031,"No","all_QUD","trial_2",11,72,"13","some.wav","allQUD",6.93828448401696,1031
"69",959,16.6576166666667,1170,"No","all_QUD","trial_2",11,78,"13","some.wav","allQUD",7.0647590277918,1170
"70",972,11.3604166666667,2112,"Yes","all_QUD","trial_1",12,11,"13","some.wav","allQUD",7.65539064482615,2112
"71",982,11.3604166666667,2799,"Yes","all_QUD","trial_1",12,21,"13","some.wav","allQUD",7.93701748951545,2799
"72",995,11.3604166666667,1861,"No","all_QUD","trial_1",12,34,"13","some.wav","allQUD",7.52886925664225,1861
"73",997,11.3604166666667,2063,"No","all_QUD","trial_1",12,36,"13","some.wav","allQUD",7.63191651307125,2063
"74",1022,11.3604166666667,1055,"No","all_QUD","trial_2",12,61,"13","some.wav","allQUD",6.96129604591017,1055
"75",1025,11.3604166666667,1535,"No","all_QUD","trial_2",12,64,"13","some.wav","allQUD",7.3362856600213,1535
"76",1030,11.3604166666667,1891,"No","all_QUD","trial_2",12,69,"13","some.wav","allQUD",7.54486106865846,1891
"77",1036,11.3604166666667,1384,"No","all_QUD","trial_2",12,75,"13","some.wav","allQUD",7.23273313617761,1384
"78",1139,12.9663833333333,1990,"Yes","all_QUD","trial_1",14,18,"13","some.wav","allQUD",7.59588991771854,1990
"79",1142,12.9663833333333,1435,"Yes","all_QUD","trial_1",14,21,"13","some.wav","allQUD",7.26892012819372,1435
"80",1150,12.9663833333333,1507,"Yes","all_QUD","trial_1",14,29,"13","some.wav","allQUD",7.3178761986265,1507
"81",1157,12.9663833333333,1407,"Yes","all_QUD","trial_1",14,36,"13","some.wav","allQUD",7.24921505711439,1407
"82",1177,12.9663833333333,1455,"Yes","all_QUD","trial_2",14,56,"13","some.wav","allQUD",7.28276117960559,1455
"83",1180,12.9663833333333,1356,"Yes","all_QUD","trial_2",14,59,"13","some.wav","allQUD",7.21229446850034,1356
"84",1200,12.9663833333333,1419,"Yes","all_QUD","trial_2",14,79,"13","some.wav","allQUD",7.25770767716004,1419
"85",1204,12.9663833333333,1381,"Yes","all_QUD","trial_2",14,83,"13","some.wav","allQUD",7.23056315340929,1381
"86",1223,11.9596666666667,2616,"Yes","all_QUD","trial_1",15,22,"13","some.wav","allQUD",7.86940171257709,2616
"87",1226,11.9596666666667,2456,"Yes","all_QUD","trial_1",15,25,"13","some.wav","allQUD",7.80628928926703,2456
"88",1236,11.9596666666667,1370,"Yes","all_QUD","trial_1",15,35,"13","some.wav","allQUD",7.22256601882217,1370
"89",1241,11.9596666666667,1460,"Yes","all_QUD","trial_1",15,40,"13","some.wav","allQUD",7.28619171470238,1460
"90",1259,11.9596666666667,3160,"No","all_QUD","trial_2",15,58,"13","some.wav","allQUD",8.05832730658096,3160
"91",1263,11.9596666666667,1867,"Yes","all_QUD","trial_2",15,62,"13","some.wav","allQUD",7.53208814354172,1867
"92",1275,11.9596666666667,1254,"Yes","all_QUD","trial_2",15,74,"13","some.wav","allQUD",7.13409372119287,1254
"93",1280,11.9596666666667,1419,"Yes","all_QUD","trial_2",15,79,"13","some.wav","allQUD",7.25770767716004,1419
"94",1376,11.40725,1351,"No","all_QUD","trial_1",17,12,"13","some.wav","allQUD",7.2086003379602,1351
"95",1389,11.40725,979,"No","all_QUD","trial_1",17,25,"13","some.wav","allQUD",6.88653164253051,979
"96",1399,11.40725,997,"No","all_QUD","trial_1",17,35,"13","some.wav","allQUD",6.90475076996184,997
"97",1406,11.40725,1028,"No","all_QUD","trial_1",17,42,"13","some.wav","allQUD",6.93537044601511,1028
"98",1420,11.40725,1364,"Yes","all_QUD","trial_2",17,56,"13","some.wav","allQUD",7.21817683840341,1364
"99",1426,11.40725,1005,"No","all_QUD","trial_2",17,62,"13","some.wav","allQUD",6.91274282049318,1005
"100",1431,11.40725,1169,"No","all_QUD","trial_2",17,67,"13","some.wav","allQUD",7.06390396147207,1169
"101",1441,11.40725,1298,"No","all_QUD","trial_2",17,77,"13","some.wav","allQUD",7.16857989726403,1298
"102",1464,9.32221666666667,2273,"No","all_QUD","trial_1",18,20,"13","some.wav","allQUD",7.72885582385254,2273
"103",1468,9.32221666666667,1624,"No","all_QUD","trial_1",18,24,"13","some.wav","allQUD",7.39264752072162,1624
"104",1476,9.32221666666667,1378,"No","all_QUD","trial_1",18,32,"13","some.wav","allQUD",7.2283884515736,1378
"105",1483,9.32221666666667,1241,"No","all_QUD","trial_1",18,39,"13","some.wav","allQUD",7.12367278520461,1241
"106",1496,9.32221666666667,1001,"No","all_QUD","trial_2",18,52,"13","some.wav","allQUD",6.90875477931522,1001
"107",1503,9.32221666666667,1217,"No","all_QUD","trial_2",18,59,"13","some.wav","allQUD",7.10414409298753,1217
"108",1512,9.32221666666667,1375,"No","all_QUD","trial_2",18,68,"13","some.wav","allQUD",7.22620901010067,1375
"109",1526,9.32221666666667,1529,"No","all_QUD","trial_2",18,82,"13","some.wav","allQUD",7.33236920592906,1529
"110",1538,8.0155,1715,"Yes","all_QUD","trial_1",19,14,"13","some.wav","allQUD",7.44716835960004,1715
"111",1546,8.0155,1639,"Yes","all_QUD","trial_1",19,22,"13","some.wav","allQUD",7.40184157874383,1639
"112",1562,8.0155,998,"Yes","all_QUD","trial_1",19,38,"13","some.wav","allQUD",6.90575327631146,998
"113",1568,8.0155,1196,"Yes","all_QUD","trial_1",19,44,"13","some.wav","allQUD",7.08673793451058,1196
"114",1574,8.0155,1425,"Yes","all_QUD","trial_2",19,50,"13","some.wav","allQUD",7.26192709270275,1425
"115",1575,8.0155,1339,"Yes","all_QUD","trial_2",19,51,"13","some.wav","allQUD",7.19967834569117,1339
"116",1590,8.0155,1065,"No","all_QUD","trial_2",19,66,"13","some.wav","allQUD",6.97073007814353,1065
"117",1605,8.0155,1608,"Yes","all_QUD","trial_2",19,81,"13","some.wav","allQUD",7.38274644973891,1608
"118",1622,10.2955833333333,1633,"Yes","all_QUD","trial_1",20,18,"13","some.wav","allQUD",7.39817409297047,1633
"119",1627,10.2955833333333,1319,"Yes","all_QUD","trial_1",20,23,"13","some.wav","allQUD",7.18462915271731,1319
"120",1638,10.2955833333333,1394,"Yes","all_QUD","trial_1",20,34,"13","some.wav","allQUD",7.23993259132047,1394
"121",1643,10.2955833333333,1334,"Yes","all_QUD","trial_1",20,39,"13","some.wav","allQUD",7.19593722647557,1334
"122",1653,10.2955833333333,1406,"Yes","all_QUD","trial_2",20,49,"13","some.wav","allQUD",7.24850407237061,1406
"123",1661,10.2955833333333,1372,"Yes","all_QUD","trial_2",20,57,"13","some.wav","allQUD",7.22402480828583,1372
"124",1678,10.2955833333333,1368,"Yes","all_QUD","trial_2",20,74,"13","some.wav","allQUD",7.2211050981825,1368
"125",1687,10.2955833333333,1331,"Yes","all_QUD","trial_2",20,83,"13","some.wav","allQUD",7.19368581839511,1331
"126",1697,10.8530666666667,2029,"Yes","all_QUD","trial_1",21,13,"13","some.wav","allQUD",7.61529833982581,2029
"127",1698,10.8530666666667,1891,"No","all_QUD","trial_1",21,14,"13","some.wav","allQUD",7.54486106865846,1891
"128",1715,10.8530666666667,2276,"Yes","all_QUD","trial_1",21,31,"13","some.wav","allQUD",7.73017479524622,2276
"129",1724,10.8530666666667,1548,"Yes","all_QUD","trial_1",21,40,"13","some.wav","allQUD",7.34471905414967,1548
"130",1745,10.8530666666667,1964,"Yes","all_QUD","trial_2",21,61,"13","some.wav","allQUD",7.58273848891441,1964
"131",1747,10.8530666666667,1724,"Yes","all_QUD","trial_2",21,63,"13","some.wav","allQUD",7.45240245122364,1724
"132",1760,10.8530666666667,1742,"Yes","all_QUD","trial_2",21,76,"13","some.wav","allQUD",7.46278915741245,1742
"133",1764,10.8530666666667,1708,"Yes","all_QUD","trial_2",21,80,"13","some.wav","allQUD",7.44307837434852,1708
"134",1785,6.91218333333333,1306,"No","all_QUD","trial_1",22,21,"13","some.wav","allQUD",7.17472430983638,1306
"135",1787,6.91218333333333,1149,"No","all_QUD","trial_1",22,23,"13","some.wav","allQUD",7.04664727784876,1149
"136",1794,6.91218333333333,1043,"No","all_QUD","trial_1",22,30,"13","some.wav","allQUD",6.94985645500077,1043
"137",1800,6.91218333333333,1090,"No","all_QUD","trial_1",22,36,"13","some.wav","allQUD",6.99393297522319,1090
"138",1818,6.91218333333333,1043,"No","all_QUD","trial_2",22,54,"13","some.wav","allQUD",6.94985645500077,1043
