"","slide_type","image","slide_number","Answer.condition","workerid","Answer.time_in_minutes","rawRT","key","audio"
"102","trial_1","0",25,"any_QUD",1,9.23113333333333,"1885","No","five.wav"
"103","trial_1","2",26,"any_QUD",1,9.23113333333333,"995","No","all.wav"
"104","trial_1","0",27,"any_QUD",1,9.23113333333333,"1088","Yes","none.wav"
"105","trial_1","8",28,"any_QUD",1,9.23113333333333,"1727","Yes","some.wav"
"106","trial_1","5",29,"any_QUD",1,9.23113333333333,"1854","No","ten.wav"
"107","trial_1","2",30,"any_QUD",1,9.23113333333333,"1335","Yes","two.wav"
"108","trial_1","13",31,"any_QUD",1,9.23113333333333,"2784","No","some.wav"
"109","trial_1","8",32,"any_QUD",1,9.23113333333333,"3257","Yes","eight.wav"
"110","trial_1","0",33,"any_QUD",1,9.23113333333333,"1026","No","some.wav"
"111","trial_1","0",34,"any_QUD",1,9.23113333333333,"921","Yes","none.wav"
"112","trial_1","11",35,"any_QUD",1,9.23113333333333,"1998","No","seven.wav"
"113","trial_1","13",36,"any_QUD",1,9.23113333333333,"1171","Yes","all.wav"
"114","trial_1","11",37,"any_QUD",1,9.23113333333333,"4002","Late","eleven.wav"
"115","trial_1","11",38,"any_QUD",1,9.23113333333333,"1196","No","all.wav"
"116","trial_1","0",39,"any_QUD",1,9.23113333333333,"876","No","all.wav"
"117","trial_1","13",40,"any_QUD",1,9.23113333333333,"916","Yes","all.wav"
"118","trial_1","0",41,"any_QUD",1,9.23113333333333,"1050","Yes","none.wav"
"119","trial_1","5",42,"any_QUD",1,9.23113333333333,"1884","Yes","some.wav"
"120","trial_1","2",43,"any_QUD",1,9.23113333333333,"1222","Yes","two.wav"
"121","trial_1","5",44,"any_QUD",1,9.23113333333333,"1340","Yes","five.wav"
"122","trial_1","13",45,"any_QUD",1,9.23113333333333,"2075","No","some.wav"
"123","trial_1","0",46,"any_QUD",1,9.23113333333333,"1353","No","eleven.wav"
