"Answer.time_in_minutes","image","audio","response","workerid","Answer.condition","slide_type","slide_number","speaker_cond"
15.2974,"8","all.wav","[1552, 'No']",0,"age1-anyQUD","trial_2",56,"r1-age1-any"
15.2974,"13","summa.wav","[1145, 'No']",0,"age1-anyQUD","trial_2",57,"r1-age1-any"
15.2974,"13","none.wav","[1159, 'No']",0,"age1-anyQUD","trial_2",58,"r1-age1-any"
15.2974,"2","two.wav","[1140, 'Yes']",0,"age1-anyQUD","trial_2",59,"r1-age1-any"
15.2974,"0","three.wav","[1792, 'No']",0,"age1-anyQUD","trial_2",60,"r1-age1-any"
15.2974,"0","summa.wav","[5685, 'No']",0,"age1-anyQUD","trial_2",61,"r1-age1-any"
15.2974,"5","two.wav","[1707, 'No']",0,"age1-anyQUD","trial_2",62,"r1-age1-any"
15.2974,"13","all.wav","[1351, 'Yes']",0,"age1-anyQUD","trial_2",63,"r1-age1-any"
15.2974,"13","summa.wav","[867, 'No']",0,"age1-anyQUD","trial_2",64,"r1-age1-any"
15.2974,"0","none.wav","[1387, 'Yes']",0,"age1-anyQUD","trial_2",65,"r1-age1-any"
15.2974,"11","all.wav","[2781, 'No']",0,"age1-anyQUD","trial_2",66,"r1-age1-any"
15.2974,"11","eleven.wav","[7297, 'Yes']",0,"age1-anyQUD","trial_2",67,"r1-age1-any"
15.2974,"2","twelve.wav","[2901, 'No']",0,"age1-anyQUD","trial_2",68,"r1-age1-any"
15.2974,"13","five.wav","[2095, 'No']",0,"age1-anyQUD","trial_2",69,"r1-age1-any"
15.2974,"13","all.wav","[1296, 'Yes']",0,"age1-anyQUD","trial_2",70,"r1-age1-any"
15.2974,"8","eight.wav","[2775, 'Yes']",0,"age1-anyQUD","trial_2",71,"r1-age1-any"
15.2974,"13","summa.wav","[1748, 'No']",0,"age1-anyQUD","trial_2",72,"r1-age1-any"
15.2974,"0","summa.wav","[1841, 'No']",0,"age1-anyQUD","trial_2",73,"r1-age1-any"
15.2974,"5","nine.wav","[1308, 'No']",0,"age1-anyQUD","trial_2",74,"r1-age1-any"
15.2974,"13","all.wav","[712, 'Yes']",0,"age1-anyQUD","trial_2",75,"r1-age1-any"
15.2974,"0","none.wav","[1830, 'Yes']",0,"age1-anyQUD","trial_2",76,"r1-age1-any"
15.2974,"2","two.wav","[1575, 'Yes']",0,"age1-anyQUD","trial_2",77,"r1-age1-any"
15.2974,"0","all.wav","[2144, 'No']",0,"age1-anyQUD","trial_2",78,"r1-age1-any"
15.2974,"8","two.wav","[1928, 'No']",0,"age1-anyQUD","trial_2",79,"r1-age1-any"
15.2974,"13","summa.wav","[1804, 'No']",0,"age1-anyQUD","trial_2",80,"r1-age1-any"
15.2974,"2","none.wav","[913, 'No']",0,"age1-anyQUD","trial_2",81,"r1-age1-any"
15.2974,"11","summa.wav","[3617, 'Yes']",0,"age1-anyQUD","trial_2",82,"r1-age1-any"
15.2974,"5","five.wav","[2111, 'Yes']",0,"age1-anyQUD","trial_2",83,"r1-age1-any"
9.56175,"Jessica","","[0, 'Jessica']",1,"age1-anyQUD","bot_check",1,"r1-age1-any"
9.56175,"","","[0, 'Four']",1,"age1-anyQUD","audio_check",3,"r1-age1-any"
9.56175,"","","[0, 'Jam']",1,"age1-anyQUD","comprehension_check_1",4,"r1-age1-any"
9.56175,"13","none.wav","[2051, 'No']",1,"age1-anyQUD","practice_trial",6,"r1-age1-any"
9.56175,"13","all.wav","[1730, 'Yes']",1,"age1-anyQUD","practice_trial",7,"r1-age1-any"
9.56175,"0","all.wav","[1564, 'No']",1,"age1-anyQUD","practice_trial",8,"r1-age1-any"
9.56175,"0","none.wav","[1530, 'Yes']",1,"age1-anyQUD","practice_trial",9,"r1-age1-any"
9.56175,"5","all.wav","[1905, 'No']",1,"age1-anyQUD","trial_1",11,"r1-age1-any"
9.56175,"13","all.wav","[1355, 'Yes']",1,"age1-anyQUD","trial_1",12,"r1-age1-any"
9.56175,"5","four.wav","[2882, 'No']",1,"age1-anyQUD","trial_1",13,"r1-age1-any"
9.56175,"8","none.wav","[1546, 'No']",1,"age1-anyQUD","trial_1",14,"r1-age1-any"
9.56175,"0","summa.wav","[1765, 'No']",1,"age1-anyQUD","trial_1",15,"r1-age1-any"
9.56175,"0","five.wav","[1913, 'No']",1,"age1-anyQUD","trial_1",16,"r1-age1-any"
9.56175,"13","all.wav","[1641, 'Yes']",1,"age1-anyQUD","trial_1",17,"r1-age1-any"
9.56175,"2","two.wav","[1512, 'Yes']",1,"age1-anyQUD","trial_1",18,"r1-age1-any"
9.56175,"8","eight.wav","[6354, 'Yes']",1,"age1-anyQUD","trial_1",19,"r1-age1-any"
9.56175,"2","all.wav","[1483, 'No']",1,"age1-anyQUD","trial_1",20,"r1-age1-any"
9.56175,"11","thirteen.wav","[5868, 'Yes']",1,"age1-anyQUD","trial_1",21,"r1-age1-any"
9.56175,"8","summa.wav","[1594, 'Yes']",1,"age1-anyQUD","trial_1",22,"r1-age1-any"
9.56175,"2","two.wav","[1447, 'Yes']",1,"age1-anyQUD","trial_1",23,"r1-age1-any"
9.56175,"0","none.wav","[1420, 'Yes']",1,"age1-anyQUD","trial_1",24,"r1-age1-any"
9.56175,"13","summa.wav","[3361, 'No']",1,"age1-anyQUD","trial_1",25,"r1-age1-any"
9.56175,"13","summa.wav","[1632, 'No']",1,"age1-anyQUD","trial_1",26,"r1-age1-any"
9.56175,"8","eleven.wav","[7845, 'No']",1,"age1-anyQUD","trial_1",27,"r1-age1-any"
9.56175,"13","eight.wav","[1547, 'No']",1,"age1-anyQUD","trial_1",28,"r1-age1-any"
9.56175,"0","all.wav","[1464, 'No']",1,"age1-anyQUD","trial_1",29,"r1-age1-any"
9.56175,"5","ten.wav","[1478, 'No']",1,"age1-anyQUD","trial_1",30,"r1-age1-any"
9.56175,"11","seven.wav","[1591, 'No']",1,"age1-anyQUD","trial_1",31,"r1-age1-any"
9.56175,"2","two.wav","[1521, 'Yes']",1,"age1-anyQUD","trial_1",32,"r1-age1-any"
9.56175,"0","none.wav","[1498, 'Yes']",1,"age1-anyQUD","trial_1",33,"r1-age1-any"
9.56175,"5","five.wav","[1594, 'Yes']",1,"age1-anyQUD","trial_1",34,"r1-age1-any"
9.56175,"13","summa.wav","[1478, 'No']",1,"age1-anyQUD","trial_1",35,"r1-age1-any"
9.56175,"11","all.wav","[1533, 'No']",1,"age1-anyQUD","trial_1",36,"r1-age1-any"
9.56175,"13","summa.wav","[1498, 'No']",1,"age1-anyQUD","trial_1",37,"r1-age1-any"
9.56175,"5","summa.wav","[1585, 'Yes']",1,"age1-anyQUD","trial_1",38,"r1-age1-any"
9.56175,"13","all.wav","[1422, 'Yes']",1,"age1-anyQUD","trial_1",39,"r1-age1-any"
9.56175,"0","eleven.wav","[1657, 'No']",1,"age1-anyQUD","trial_1",40,"r1-age1-any"
9.56175,"13","all.wav","[886, 'Yes']",1,"age1-anyQUD","trial_1",41,"r1-age1-any"
9.56175,"2","two.wav","[857, 'Yes']",1,"age1-anyQUD","trial_1",42,"r1-age1-any"
9.56175,"11","none.wav","[1321, 'No']",1,"age1-anyQUD","trial_1",43,"r1-age1-any"
9.56175,"0","summa.wav","[1126, 'No']",1,"age1-anyQUD","trial_1",44,"r1-age1-any"
9.56175,"11","eleven.wav","[4240, 'Yes']",1,"age1-anyQUD","trial_1",45,"r1-age1-any"
9.56175,"8","eight.wav","[4393, 'Yes']",1,"age1-anyQUD","trial_1",46,"r1-age1-any"
9.56175,"","","[0, 'Jam']",1,"age1-anyQUD","comprehension_check_2",47,"r1-age1-any"
9.56175,"13","all.wav","[1423, 'Yes']",1,"age1-anyQUD","trial_2",48,"r1-age1-any"
9.56175,"0","three.wav","[1511, 'No']",1,"age1-anyQUD","trial_2",49,"r1-age1-any"
9.56175,"11","one.wav","[1670, 'No']",1,"age1-anyQUD","trial_2",50,"r1-age1-any"
9.56175,"5","all.wav","[1608, 'No']",1,"age1-anyQUD","trial_2",51,"r1-age1-any"
9.56175,"13","summa.wav","[1770, 'No']",1,"age1-anyQUD","trial_2",52,"r1-age1-any"
9.56175,"2","two.wav","[846, 'Yes']",1,"age1-anyQUD","trial_2",53,"r1-age1-any"
9.56175,"13","all.wav","[1313, 'Yes']",1,"age1-anyQUD","trial_2",54,"r1-age1-any"
9.56175,"5","two.wav","[1509, 'No']",1,"age1-anyQUD","trial_2",55,"r1-age1-any"
9.56175,"13","summa.wav","[2025, 'No']",1,"age1-anyQUD","trial_2",56,"r1-age1-any"
9.56175,"8","eight.wav","[2173, 'Yes']",1,"age1-anyQUD","trial_2",57,"r1-age1-any"
9.56175,"0","summa.wav","[1589, 'No']",1,"age1-anyQUD","trial_2",58,"r1-age1-any"
9.56175,"0","none.wav","[1449, 'Yes']",1,"age1-anyQUD","trial_2",59,"r1-age1-any"
9.56175,"13","ten.wav","[1561, 'No']",1,"age1-anyQUD","trial_2",60,"r1-age1-any"
9.56175,"5","five.wav","[908, 'Yes']",1,"age1-anyQUD","trial_2",61,"r1-age1-any"
9.56175,"2","summa.wav","[2212, 'Yes']",1,"age1-anyQUD","trial_2",62,"r1-age1-any"
