"","audio","Answer.condition","Answer.time_in_minutes","workerid","rawRT","key","slide_type","image","slide_number","logRT","rt"
"1","summa.wav","all_QUD",8.93818333333333,400,1489,"No","trial_1","13",14,7.30586003268401,1489
"2","summa.wav","all_QUD",8.93818333333333,400,884,"No","trial_1","13",26,6.78445706263764,884
"3","summa.wav","all_QUD",8.93818333333333,400,884,"No","trial_1","13",29,6.78445706263764,884
"4","summa.wav","all_QUD",8.93818333333333,400,1632,"No","trial_1","13",43,7.39756153552405,1632
"5","summa.wav","all_QUD",8.93818333333333,400,1635,"No","trial_2","13",52,7.39939808333135,1635
"6","summa.wav","all_QUD",8.93818333333333,400,931,"No","trial_2","13",62,6.83625927727707,931
"7","summa.wav","all_QUD",8.93818333333333,400,1009,"No","trial_2","13",71,6.91671502035361,1009
"8","summa.wav","all_QUD",8.93818333333333,400,884,"No","trial_2","13",75,6.78445706263764,884
"9","summa.wav","all_QUD",9.99958333333333,401,2012,"No","trial_1","13",11,7.60688453121963,2012
"10","summa.wav","all_QUD",9.99958333333333,401,2371,"No","trial_1","13",27,7.77106708606541,2371
"11","summa.wav","all_QUD",9.99958333333333,401,2501,"No","trial_1","13",31,7.82444593087762,2501
"12","summa.wav","all_QUD",9.99958333333333,401,2012,"No","trial_1","13",32,7.60688453121963,2012
"13","summa.wav","all_QUD",9.99958333333333,401,1636,"No","trial_2","13",50,7.40000951716269,1636
"14","summa.wav","all_QUD",9.99958333333333,401,1686,"No","trial_2","13",56,7.4301141385618,1686
"15","summa.wav","all_QUD",9.99958333333333,401,1343,"No","trial_2","13",66,7.20266119652324,1343
"16","summa.wav","all_QUD",9.99958333333333,401,1890,"No","trial_2","13",71,7.54433210805369,1890
"17","summa.wav","all_QUD",11.4888,402,2457,"Yes","trial_1","13",21,7.80669637252118,2457
"18","summa.wav","all_QUD",11.4888,402,2673,"No","trial_1","13",24,7.89095671613892,2673
"19","summa.wav","all_QUD",11.4888,402,2257,"Yes","trial_1","13",44,7.72179177681754,2257
"20","summa.wav","all_QUD",11.4888,402,2201,"Yes","trial_2","13",53,7.69666708152646,2201
"21","summa.wav","all_QUD",11.4888,402,1633,"Yes","trial_2","13",56,7.39817409297047,1633
"22","summa.wav","all_QUD",11.4888,402,1935,"Yes","trial_2","13",75,7.56786260546388,1935
"23","summa.wav","all_QUD",11.4888,402,2514,"Yes","trial_2","13",81,7.82963038915019,2514
"24","summa.wav","all_QUD",14.44035,403,2581,"Yes","trial_1","13",12,7.85593219971861,2581
"25","summa.wav","all_QUD",14.44035,403,2898,"Yes","trial_1","13",21,7.97177612288063,2898
"26","summa.wav","all_QUD",14.44035,403,1884,"Yes","trial_1","13",34,7.54115245513631,1884
"27","summa.wav","all_QUD",14.44035,403,1841,"Yes","trial_1","13",40,7.51806418123308,1841
