"","slide_type","rtime","rkey","Answer.condition","Answer.time_in_minutes","workerid","audio","slide_number","image","speaker_cond"
"1","bot_check","0"," Jennifer","all_QUD",9.6172,0,"",1,"Jennifer","all"
"2","audio_check","0"," Four","all_QUD",9.6172,0,"",3,"","all"
"3","comprehension_check_1","0"," Empty","all_QUD",9.6172,0,"",4,"","all"
"4","practice_trial","6195"," No","all_QUD",9.6172,0,"none.wav",6,"13","all"
"5","practice_trial","2180"," Yes","all_QUD",9.6172,0,"all.wav",7,"13","all"
"6","practice_trial","1941"," No","all_QUD",9.6172,0,"all.wav",8,"0","all"
"7","practice_trial","2833"," Yes","all_QUD",9.6172,0,"none.wav",9,"0","all"
"8","trial_1","6575"," Yes","all_QUD",9.6172,0,"none.wav",11,"8","all"
"9","trial_1","4582"," Yes","all_QUD",9.6172,0,"some.wav",12,"13","all"
"10","trial_1","1768"," Yes","all_QUD",9.6172,0,"two.wav",13,"2","all"
"11","trial_1","1709"," No","all_QUD",9.6172,0,"all.wav",14,"2","all"
"12","trial_1","3184"," No","all_QUD",9.6172,0,"four.wav",15,"5","all"
"13","trial_1","2291"," Yes","all_QUD",9.6172,0,"all.wav",16,"13","all"
"14","trial_1","1569"," Yes","all_QUD",9.6172,0,"two.wav",17,"2","all"
"15","trial_1","2166"," Yes","all_QUD",9.6172,0,"none.wav",18,"0","all"
"16","trial_1","3101"," Yes","all_QUD",9.6172,0,"eight.wav",19,"8","all"
"17","trial_1","1604"," No","all_QUD",9.6172,0,"five.wav",20,"0","all"
"18","trial_1","2047"," No","all_QUD",9.6172,0,"eleven.wav",21,"8","all"
"19","trial_1","1466"," No","all_QUD",9.6172,0,"some.wav",22,"0","all"
"20","trial_1","1872"," No","all_QUD",9.6172,0,"eight.wav",23,"13","all"
"21","trial_1","2792"," Yes","all_QUD",9.6172,0,"some.wav",24,"13","all"
"22","trial_1","1689"," Yes","all_QUD",9.6172,0,"some.wav",25,"8","all"
"23","trial_1","1630"," Yes","all_QUD",9.6172,0,"all.wav",26,"13","all"
"24","trial_1","1925"," No","all_QUD",9.6172,0,"thirteen.wav",27,"8","all"
"25","trial_1","1750"," No","all_QUD",9.6172,0,"all.wav",28,"5","all"
"26","trial_1","1498"," Yes","all_QUD",9.6172,0,"all.wav",29,"13","all"
"27","trial_1","1699"," No","all_QUD",9.6172,0,"ten.wav",30,"5","all"
"28","trial_1","1236"," No","all_QUD",9.6172,0,"some.wav",31,"0","all"
