"","X.1","X","audio","Answer.condition","Answer.time_in_minutes","workerid","rawRT","key","slide_type","image","slide_number","speaker_cond","logRT","rt","experiment"
"1",1,11,"summa.wav","all_QUD",8.93818333333333,0,1489,"No","trial_1",13,14,"allQUD",7.30586003268401,1489,4
"2",2,23,"summa.wav","all_QUD",8.93818333333333,0,884,"No","trial_1",13,26,"allQUD",6.78445706263764,884,4
"3",3,26,"summa.wav","all_QUD",8.93818333333333,0,884,"No","trial_1",13,29,"allQUD",6.78445706263764,884,4
"4",4,40,"summa.wav","all_QUD",8.93818333333333,0,1632,"No","trial_1",13,43,"allQUD",7.39756153552405,1632,4
"5",5,49,"summa.wav","all_QUD",8.93818333333333,0,1635,"No","trial_2",13,52,"allQUD",7.39939808333135,1635,4
"6",6,59,"summa.wav","all_QUD",8.93818333333333,0,931,"No","trial_2",13,62,"allQUD",6.83625927727707,931,4
"7",7,68,"summa.wav","all_QUD",8.93818333333333,0,1009,"No","trial_2",13,71,"allQUD",6.91671502035361,1009,4
"8",8,72,"summa.wav","all_QUD",8.93818333333333,0,884,"No","trial_2",13,75,"allQUD",6.78445706263764,884,4
"9",9,88,"summa.wav","all_QUD",9.99958333333333,1,2012,"No","trial_1",13,11,"allQUD",7.60688453121963,2012,4
"10",10,104,"summa.wav","all_QUD",9.99958333333333,1,2371,"No","trial_1",13,27,"allQUD",7.77106708606541,2371,4
"11",11,108,"summa.wav","all_QUD",9.99958333333333,1,2501,"No","trial_1",13,31,"allQUD",7.82444593087762,2501,4
"12",12,109,"summa.wav","all_QUD",9.99958333333333,1,2012,"No","trial_1",13,32,"allQUD",7.60688453121963,2012,4
"13",13,127,"summa.wav","all_QUD",9.99958333333333,1,1636,"No","trial_2",13,50,"allQUD",7.40000951716269,1636,4
"14",14,133,"summa.wav","all_QUD",9.99958333333333,1,1686,"No","trial_2",13,56,"allQUD",7.4301141385618,1686,4
"15",15,143,"summa.wav","all_QUD",9.99958333333333,1,1343,"No","trial_2",13,66,"allQUD",7.20266119652324,1343,4
"16",16,148,"summa.wav","all_QUD",9.99958333333333,1,1890,"No","trial_2",13,71,"allQUD",7.54433210805369,1890,4
"17",17,179,"summa.wav","all_QUD",11.4888,2,2457,"Yes","trial_1",13,21,"allQUD",7.80669637252118,2457,4
"18",18,182,"summa.wav","all_QUD",11.4888,2,2673,"No","trial_1",13,24,"allQUD",7.89095671613892,2673,4
"19",19,202,"summa.wav","all_QUD",11.4888,2,2257,"Yes","trial_1",13,44,"allQUD",7.72179177681754,2257,4
"20",20,211,"summa.wav","all_QUD",11.4888,2,2201,"Yes","trial_2",13,53,"allQUD",7.69666708152646,2201,4
"21",21,214,"summa.wav","all_QUD",11.4888,2,1633,"Yes","trial_2",13,56,"allQUD",7.39817409297047,1633,4
"22",22,233,"summa.wav","all_QUD",11.4888,2,1935,"Yes","trial_2",13,75,"allQUD",7.56786260546388,1935,4
"23",23,239,"summa.wav","all_QUD",11.4888,2,2514,"Yes","trial_2",13,81,"allQUD",7.82963038915019,2514,4
"24",24,250,"summa.wav","all_QUD",14.44035,3,2581,"Yes","trial_1",13,12,"allQUD",7.85593219971861,2581,4
"25",25,259,"summa.wav","all_QUD",14.44035,3,2898,"Yes","trial_1",13,21,"allQUD",7.97177612288063,2898,4
"26",26,272,"summa.wav","all_QUD",14.44035,3,1884,"Yes","trial_1",13,34,"allQUD",7.54115245513631,1884,4
"27",27,278,"summa.wav","all_QUD",14.44035,3,1841,"Yes","trial_1",13,40,"allQUD",7.51806418123308,1841,4
"28",28,293,"summa.wav","all_QUD",14.44035,3,1757,"Yes","trial_2",13,55,"allQUD",7.4713630881871,1757,4
"29",29,301,"summa.wav","all_QUD",14.44035,3,1677,"Yes","trial_2",13,63,"allQUD",7.42476176182321,1677,4
"30",30,309,"summa.wav","all_QUD",14.44035,3,1997,"Yes","trial_2",13,71,"allQUD",7.59940133341582,1997,4
"31",31,312,"summa.wav","all_QUD",14.44035,3,1741,"Yes","trial_2",13,74,"allQUD",7.46221493976819,1741,4
"32",32,329,"summa.wav","all_QUD",12.4746,4,2053,"Yes","trial_1",13,11,"allQUD",7.62705741701893,2053,4
"33",33,341,"summa.wav","all_QUD",12.4746,4,3761,"Yes","trial_1",13,23,"allQUD",8.23244015847034,3761,4
"34",34,361,"summa.wav","all_QUD",12.4746,4,3262,"Yes","trial_1",13,43,"allQUD",8.09009578318096,3262,4
"35",35,364,"summa.wav","all_QUD",12.4746,4,3099,"No","trial_1",13,46,"allQUD",8.03883475778775,3099,4
"36",36,367,"summa.wav","all_QUD",12.4746,4,2535,"No","trial_2",13,49,"allQUD",7.83794891602528,2535,4
"37",37,383,"summa.wav","all_QUD",12.4746,4,3154,"No","trial_2",13,65,"allQUD",8.05642676752298,3154,4
"38",38,401,"summa.wav","all_QUD",12.4746,4,3761,"Yes","trial_2",13,83,"allQUD",8.23244015847034,3761,4
"39",39,412,"summa.wav","all_QUD",8.74741666666667,5,2386,"No","trial_1",13,14,"allQUD",7.77737360265786,2386,4
"40",40,419,"summa.wav","all_QUD",8.74741666666667,5,2125,"No","trial_1",13,21,"allQUD",7.66152708135852,2125,4
"41",41,428,"summa.wav","all_QUD",8.74741666666667,5,1823,"No","trial_1",13,30,"allQUD",7.50823877467866,1823,4
"42",42,440,"summa.wav","all_QUD",8.74741666666667,5,1843,"No","trial_1",13,42,"allQUD",7.51914995766982,1843,4
