"","X.1","X","audio","Answer.condition","Answer.time_in_minutes","workerid","rawRT","key","slide_type","image","slide_number","speaker_cond","logRT","rt","experiment"
"43",43,451,"summa.wav","all_QUD",8.74741666666667,5,2106,"No","trial_2",13,53,"allQUD",7.65254569269392,2106,4
"44",44,454,"summa.wav","all_QUD",8.74741666666667,5,2718,"No","trial_2",13,56,"allQUD",7.90765159471109,2718,4
"45",45,470,"summa.wav","all_QUD",8.74741666666667,5,1946,"Yes","trial_2",13,72,"allQUD",7.57353126274595,1946,4
"46",46,478,"summa.wav","all_QUD",8.74741666666667,5,1667,"Yes","trial_2",13,80,"allQUD",7.41878088275079,1667,4
"47",47,500,"summa.wav","all_QUD",10.6212,6,1594,"Yes","trial_1",13,22,"allQUD",7.37400185935016,1594,4
"48",48,507,"summa.wav","all_QUD",10.6212,6,2342,"Yes","trial_1",13,29,"allQUD",7.75876054415766,2342,4
"49",49,508,"summa.wav","all_QUD",10.6212,6,1184,"No","trial_1",13,30,"allQUD",7.07665381544395,1184,4
"50",50,527,"summa.wav","all_QUD",10.6212,6,1008,"No","trial_2",13,49,"allQUD",6.91572344863131,1008,4
"51",51,531,"summa.wav","all_QUD",10.6212,6,996,"No","trial_2",13,53,"allQUD",6.9037472575846,996,4
"52",52,554,"summa.wav","all_QUD",10.6212,6,1094,"No","trial_2",13,76,"allQUD",6.99759598298193,1094,4
"53",53,555,"summa.wav","all_QUD",10.6212,6,1129,"No","trial_2",13,77,"allQUD",7.02908756414966,1129,4
"54",54,581,"summa.wav","all_QUD",26.2168833333333,7,1647,"No","trial_1",13,23,"allQUD",7.40671073017764,1647,4
"55",55,585,"summa.wav","all_QUD",26.2168833333333,7,1418,"No","trial_1",13,27,"allQUD",7.25700270709207,1418,4
"56",56,588,"summa.wav","all_QUD",26.2168833333333,7,1416,"No","trial_1",13,30,"allQUD",7.25559127425367,1416,4
"57",57,598,"summa.wav","all_QUD",26.2168833333333,7,1407,"No","trial_1",13,40,"allQUD",7.24921505711439,1407,4
"58",58,606,"summa.wav","all_QUD",26.2168833333333,7,1450,"No","trial_2",13,48,"allQUD",7.27931883541462,1450,4
"59",59,617,"summa.wav","all_QUD",26.2168833333333,7,1293,"No","trial_2",13,59,"allQUD",7.16472037877186,1293,4
"60",60,632,"summa.wav","all_QUD",26.2168833333333,7,2096,"No","trial_2",13,74,"allQUD",7.64778604544093,2096,4
"61",61,634,"summa.wav","all_QUD",26.2168833333333,7,2508,"Yes","trial_2",13,76,"allQUD",7.82724090175281,2508,4
"62",62,665,"summa.wav","all_QUD",11.7295333333333,8,1727,"No","trial_1",13,27,"allQUD",7.45414107814668,1727,4
"63",63,666,"summa.wav","all_QUD",11.7295333333333,8,1682,"No","trial_1",13,28,"allQUD",7.42773884053289,1682,4
"64",64,670,"summa.wav","all_QUD",11.7295333333333,8,1768,"No","trial_1",13,32,"allQUD",7.47760424319759,1768,4
"65",65,672,"summa.wav","all_QUD",11.7295333333333,8,1339,"No","trial_1",13,34,"allQUD",7.19967834569117,1339,4
"66",66,692,"summa.wav","all_QUD",11.7295333333333,8,1312,"No","trial_2",13,54,"allQUD",7.17930796950403,1312,4
"67",67,702,"summa.wav","all_QUD",11.7295333333333,8,1220,"No","trial_2",13,64,"allQUD",7.1066061377273,1220,4
"68",68,708,"summa.wav","all_QUD",11.7295333333333,8,3463,"No","trial_2",13,70,"allQUD",8.14989054440242,3463,4
"69",69,717,"summa.wav","all_QUD",11.7295333333333,8,983,"No","trial_2",13,79,"allQUD",6.89060912014717,983,4
"70",70,734,"summa.wav","all_QUD",9.19715,9,1898,"No","trial_1",13,16,"allQUD",7.54855597916987,1898,4
"71",71,741,"summa.wav","all_QUD",9.19715,9,1523,"No","trial_1",13,23,"allQUD",7.32843735289516,1523,4
"72",72,748,"summa.wav","all_QUD",9.19715,9,1562,"No","trial_1",13,30,"allQUD",7.35372233039963,1562,4
"73",73,751,"summa.wav","all_QUD",9.19715,9,1580,"No","trial_1",13,33,"allQUD",7.36518012602101,1580,4
"74",74,770,"summa.wav","all_QUD",9.19715,9,1345,"No","trial_2",13,52,"allQUD",7.20414929203594,1345,4
"75",75,775,"summa.wav","all_QUD",9.19715,9,1194,"No","trial_2",13,57,"allQUD",7.08506429395255,1194,4
"76",76,789,"summa.wav","all_QUD",9.19715,9,1204,"No","trial_2",13,71,"allQUD",7.09340462586877,1204,4
"77",77,796,"summa.wav","all_QUD",9.19715,9,1076,"No","trial_2",13,78,"allQUD",6.98100574072173,1076,4
"78",78,809,"summa.wav","all_QUD",11.7726,10,1894,"No","trial_1",13,11,"allQUD",7.54644627374602,1894,4
"79",79,823,"summa.wav","all_QUD",11.7726,10,1121,"No","trial_1",13,25,"allQUD",7.02197642307216,1121,4
"80",80,837,"summa.wav","all_QUD",11.7726,10,1427,"No","trial_1",13,39,"allQUD",7.26332961747684,1427,4
"81",81,840,"summa.wav","all_QUD",11.7726,10,1144,"No","trial_1",13,42,"allQUD",7.04228617193974,1144,4
"82",82,851,"summa.wav","all_QUD",11.7726,10,1468,"No","trial_2",13,53,"allQUD",7.29165620917446,1468,4
"83",83,863,"summa.wav","all_QUD",11.7726,10,1071,"No","trial_2",13,65,"allQUD",6.97634807044775,1071,4
"84",84,870,"summa.wav","all_QUD",11.7726,10,1514,"No","trial_2",13,72,"allQUD",7.32251043399739,1514,4
"85",85,876,"summa.wav","all_QUD",11.7726,10,939,"No","trial_2",13,78,"allQUD",6.84481547920826,939,4
"86",86,904,"summa.wav","all_QUD",10.0777666666667,11,1708,"No","trial_1",13,26,"allQUD",7.44307837434852,1708,4
"87",87,913,"summa.wav","all_QUD",10.0777666666667,11,1267,"No","trial_1",13,35,"allQUD",7.14440718032114,1267,4
"88",88,920,"summa.wav","all_QUD",10.0777666666667,11,988,"No","trial_1",13,42,"allQUD",6.89568269774787,988,4
"89",89,936,"summa.wav","all_QUD",10.0777666666667,11,1015,"No","trial_2",13,58,"allQUD",6.92264389147589,1015,4
"90",90,941,"summa.wav","all_QUD",10.0777666666667,11,1043,"No","trial_2",13,63,"allQUD",6.94985645500077,1043,4
"91",91,946,"summa.wav","all_QUD",10.0777666666667,11,957,"No","trial_2",13,68,"allQUD",6.86380339145295,957,4
"92",92,954,"summa.wav","all_QUD",10.0777666666667,11,1103,"No","trial_2",13,76,"allQUD",7.0057890192535,1103,4
"93",93,974,"summa.wav","all_QUD",11.0728,12,2651,"No","trial_1",13,16,"allQUD",7.88269220628903,2651,4
"94",94,983,"summa.wav","all_QUD",11.0728,12,1475,"No","trial_1",13,25,"allQUD",7.29641326877392,1475,4
"95",95,990,"summa.wav","all_QUD",11.0728,12,1533,"No","trial_1",13,32,"allQUD",7.33498187887181,1533,4
"96",96,997,"summa.wav","all_QUD",11.0728,12,1380,"No","trial_1",13,39,"allQUD",7.22983877815125,1380,4
"97",97,1010,"summa.wav","all_QUD",11.0728,12,1412,"No","trial_2",13,52,"allQUD",7.25276241805319,1412,4
"98",98,1018,"summa.wav","all_QUD",11.0728,12,1395,"No","trial_2",13,60,"allQUD",7.24064969425547,1395,4
"99",99,1034,"summa.wav","all_QUD",11.0728,12,1709,"No","trial_2",13,76,"allQUD",7.44366368311559,1709,4
"100",100,1035,"summa.wav","all_QUD",11.0728,12,2045,"No","trial_2",13,77,"allQUD",7.6231530684769,2045,4
"101",101,1054,"summa.wav","all_QUD",9.6872,13,1926,"No","trial_1",13,16,"allQUD",7.56320059235807,1926,4
"102",102,1060,"summa.wav","all_QUD",9.6872,13,989,"No","trial_1",13,22,"allQUD",6.89669433162271,989,4
"103",103,1075,"summa.wav","all_QUD",9.6872,13,1165,"No","trial_1",13,37,"allQUD",7.0604763659998,1165,4
"104",104,1082,"summa.wav","all_QUD",9.6872,13,1290,"No","trial_1",13,44,"allQUD",7.16239749735572,1290,4
"105",105,1092,"summa.wav","all_QUD",9.6872,13,1572,"No","trial_2",13,54,"allQUD",7.36010397298915,1572,4
"106",106,1099,"summa.wav","all_QUD",9.6872,13,1405,"No","trial_2",13,61,"allQUD",7.24779258176785,1405,4
"107",107,1118,"summa.wav","all_QUD",9.6872,13,1641,"No","trial_2",13,80,"allQUD",7.40306109109009,1641,4
"108",108,1119,"summa.wav","all_QUD",9.6872,13,1296,"No","trial_2",13,81,"allQUD",7.16703787691222,1296,4
"109",109,1139,"summa.wav","all_QUD",9.3723,14,1931,"No","trial_1",13,21,"allQUD",7.56579328242851,1931,4
"110",110,1141,"summa.wav","all_QUD",9.3723,14,2474,"No","trial_1",13,23,"allQUD",7.81359155295243,2474,4
"111",111,1155,"summa.wav","all_QUD",9.3723,14,1523,"No","trial_1",13,37,"allQUD",7.32843735289516,1523,4
"112",112,1158,"summa.wav","all_QUD",9.3723,14,1918,"No","trial_1",13,40,"allQUD",7.55903825544338,1918,4
"113",113,1170,"summa.wav","all_QUD",9.3723,14,1671,"No","trial_2",13,52,"allQUD",7.42117752859539,1671,4
"114",114,1173,"summa.wav","all_QUD",9.3723,14,1540,"No","trial_2",13,55,"allQUD",7.33953769540767,1540,4
"115",115,1184,"summa.wav","all_QUD",9.3723,14,1898,"Yes","trial_2",13,66,"allQUD",7.54855597916987,1898,4
"116",116,1194,"summa.wav","all_QUD",9.3723,14,1988,"No","trial_2",13,76,"allQUD",7.59488438721652,1988,4
"117",117,1293,"summa.wav","all_QUD",10.4337333333333,16,2110,"No","trial_1",13,11,"allQUD",7.65444322647011,2110,4
"118",118,1302,"summa.wav","all_QUD",10.4337333333333,16,2057,"Yes","trial_1",13,20,"allQUD",7.62900388965296,2057,4
"119",119,1324,"summa.wav","all_QUD",10.4337333333333,16,1994,"Yes","trial_1",13,42,"allQUD",7.59789795052178,1994,4
"120",120,1328,"summa.wav","all_QUD",10.4337333333333,16,1916,"No","trial_1",13,46,"allQUD",7.55799495853081,1916,4
"121",121,1331,"summa.wav","all_QUD",10.4337333333333,16,2189,"Yes","trial_2",13,49,"allQUD",7.69120009752286,2189,4
"122",122,1342,"summa.wav","all_QUD",10.4337333333333,16,2380,"No","trial_2",13,60,"allQUD",7.77485576666552,2380,4
"123",123,1355,"summa.wav","all_QUD",10.4337333333333,16,1683,"Yes","trial_2",13,73,"allQUD",7.42833319419081,1683,4
"124",124,1361,"summa.wav","all_QUD",10.4337333333333,16,1515,"Yes","trial_2",13,79,"allQUD",7.32317071794347,1515,4
"125",125,1461,"summa.wav","all_QUD",10.8378666666667,18,1952,"No","trial_1",13,17,"allQUD",7.57660976697304,1952,4
"126",126,1463,"summa.wav","all_QUD",10.8378666666667,18,1952,"No","trial_1",13,19,"allQUD",7.57660976697304,1952,4
"127",127,1479,"summa.wav","all_QUD",10.8378666666667,18,1933,"No","trial_1",13,35,"allQUD",7.56682847920833,1933,4
"128",128,1483,"summa.wav","all_QUD",10.8378666666667,18,1779,"No","trial_1",13,39,"allQUD",7.48380668766583,1779,4
"129",129,1501,"summa.wav","all_QUD",10.8378666666667,18,1747,"No","trial_2",13,57,"allQUD",7.46565531013406,1747,4
"130",130,1507,"summa.wav","all_QUD",10.8378666666667,18,1757,"No","trial_2",13,63,"allQUD",7.4713630881871,1757,4
"131",131,1510,"summa.wav","all_QUD",10.8378666666667,18,1690,"No","trial_2",13,66,"allQUD",7.43248380791712,1690,4
"132",132,1520,"summa.wav","all_QUD",10.8378666666667,18,1610,"No","trial_2",13,76,"allQUD",7.38398945797851,1610,4
"133",133,1625,"summa.wav","all_QUD",10.2821,20,1715,"No","trial_1",13,18,"allQUD",7.44716835960004,1715,4
"134",134,1635,"summa.wav","all_QUD",10.2821,20,1565,"No","trial_1",13,28,"allQUD",7.35564110297425,1565,4
"135",135,1646,"summa.wav","all_QUD",10.2821,20,1608,"No","trial_1",13,39,"allQUD",7.38274644973891,1608,4
"136",136,1647,"summa.wav","all_QUD",10.2821,20,1482,"No","trial_1",13,40,"allQUD",7.30114780585603,1482,4
"137",137,1668,"summa.wav","all_QUD",10.2821,20,1621,"No","trial_2",13,61,"allQUD",7.39079852173568,1621,4
"138",138,1676,"summa.wav","all_QUD",10.2821,20,3607,"No","trial_2",13,69,"allQUD",8.19063168090354,3607,4
"139",139,1687,"summa.wav","all_QUD",10.2821,20,1655,"No","trial_2",13,80,"allQUD",7.41155628781116,1655,4
"140",140,1710,"summa.wav","all_QUD",7.74805,21,970,"No","trial_1",13,23,"allQUD",6.87729607149743,970,4
"141",141,1714,"summa.wav","all_QUD",7.74805,21,1338,"No","trial_1",13,27,"allQUD",7.19893124068817,1338,4
"142",142,1730,"summa.wav","all_QUD",7.74805,21,1576,"No","trial_1",13,43,"allQUD",7.36264527041782,1576,4
"143",143,1731,"summa.wav","all_QUD",7.74805,21,1237,"No","trial_1",13,44,"allQUD",7.12044437239249,1237,4
"144",144,1738,"summa.wav","all_QUD",7.74805,21,1132,"No","trial_2",13,51,"allQUD",7.03174125876313,1132,4
"145",145,1742,"summa.wav","all_QUD",7.74805,21,1177,"No","trial_2",13,55,"allQUD",7.07072410726028,1177,4
"146",146,1755,"summa.wav","all_QUD",7.74805,21,1228,"No","trial_2",13,68,"allQUD",7.11314210870709,1228,4
"147",147,1762,"summa.wav","all_QUD",7.74805,21,1706,"No","trial_2",13,75,"allQUD",7.44190672805162,1706,4
"148",148,1782,"summa.wav","all_QUD",14.5851666666667,22,2833,"No","trial_1",13,15,"allQUD",7.94909149983052,2833,4
"149",149,1795,"summa.wav","all_QUD",14.5851666666667,22,1619,"No","trial_1",13,28,"allQUD",7.38956395367764,1619,4
"150",150,1803,"summa.wav","all_QUD",14.5851666666667,22,1684,"No","trial_1",13,36,"allQUD",7.42892719480227,1684,4
"151",151,1808,"summa.wav","all_QUD",14.5851666666667,22,1721,"No","trial_1",13,41,"allQUD",7.45066079621154,1721,4
"152",152,1820,"summa.wav","all_QUD",14.5851666666667,22,1594,"No","trial_2",13,53,"allQUD",7.37400185935016,1594,4
"153",153,1831,"summa.wav","all_QUD",14.5851666666667,22,2805,"No","trial_2",13,64,"allQUD",7.9391588179568,2805,4
"154",154,1840,"summa.wav","all_QUD",14.5851666666667,22,1849,"No","trial_2",13,73,"allQUD",7.52240023138712,1849,4
"155",155,1847,"summa.wav","all_QUD",14.5851666666667,22,1737,"No","trial_2",13,80,"allQUD",7.4599147662411,1737,4
"156",156,1858,"summa.wav","all_QUD",12.6568,23,3002,"No","trial_1",13,11,"allQUD",8.00703401219341,3002,4
"157",157,1865,"summa.wav","all_QUD",12.6568,23,2027,"No","trial_1",13,18,"allQUD",7.614312146452,2027,4
"158",158,1881,"summa.wav","all_QUD",12.6568,23,1896,"No","trial_1",13,34,"allQUD",7.54750168281497,1896,4
"159",159,1890,"summa.wav","all_QUD",12.6568,23,1629,"No","trial_1",13,43,"allQUD",7.39572160860205,1629,4
"160",160,1896,"summa.wav","all_QUD",12.6568,23,1679,"No","trial_2",13,49,"allQUD",7.42595365707754,1679,4
"161",161,1903,"summa.wav","all_QUD",12.6568,23,1858,"No","trial_2",13,56,"allQUD",7.52725591937378,1858,4
"162",162,1919,"summa.wav","all_QUD",12.6568,23,1581,"No","trial_2",13,72,"allQUD",7.36581283720947,1581,4
"163",163,1927,"summa.wav","all_QUD",12.6568,23,1321,"No","trial_2",13,80,"allQUD",7.18614430452233,1321,4
"164",164,2022,"summa.wav","all_QUD",12.4062833333333,25,1502,"No","trial_1",13,15,"allQUD",7.31455283232408,1502,4
"165",165,2031,"summa.wav","all_QUD",12.4062833333333,25,935,"No","trial_1",13,24,"allQUD",6.84054652928869,935,4
"166",166,2052,"summa.wav","all_QUD",12.4062833333333,25,1166,"No","trial_1",13,45,"allQUD",7.06133436691044,1166,4
"167",167,2053,"summa.wav","all_QUD",12.4062833333333,25,1082,"No","trial_1",13,46,"allQUD",6.98656645940643,1082,4
"168",168,2061,"summa.wav","all_QUD",12.4062833333333,25,912,"No","trial_2",13,54,"allQUD",6.81563999007433,912,4
"169",169,2070,"summa.wav","all_QUD",12.4062833333333,25,938,"No","trial_2",13,63,"allQUD",6.84374994900622,938,4
"170",170,2077,"summa.wav","all_QUD",12.4062833333333,25,966,"No","trial_2",13,70,"allQUD",6.87316383421252,966,4
"171",171,2089,"summa.wav","all_QUD",12.4062833333333,25,954,"No","trial_2",13,82,"allQUD",6.86066367144829,954,4
"172",172,2101,"summa.wav","all_QUD",9.13736666666667,26,3704,"No","trial_1",13,14,"allQUD",8.21716859576607,3704,4
"173",173,2108,"summa.wav","all_QUD",9.13736666666667,26,2074,"No","trial_1",13,21,"allQUD",7.63723438878947,2074,4
"174",174,2120,"summa.wav","all_QUD",9.13736666666667,26,2011,"No","trial_1",13,33,"allQUD",7.60638738977265,2011,4
"175",175,2125,"summa.wav","all_QUD",9.13736666666667,26,1593,"No","trial_1",13,38,"allQUD",7.37337430991005,1593,4
"176",176,2141,"summa.wav","all_QUD",9.13736666666667,26,1218,"No","trial_2",13,54,"allQUD",7.10496544826984,1218,4
"177",177,2143,"summa.wav","all_QUD",9.13736666666667,26,1359,"No","trial_2",13,56,"allQUD",7.21450441415114,1359,4
"178",178,2155,"summa.wav","all_QUD",9.13736666666667,26,1446,"No","trial_2",13,68,"allQUD",7.27655640271871,1446,4
"179",179,2156,"summa.wav","all_QUD",9.13736666666667,26,2451,"No","trial_2",13,69,"allQUD",7.80425138352811,2451,4
"180",180,2195,"summa.wav","all_QUD",8.33081666666667,27,1143,"No","trial_1",13,28,"allQUD",7.04141166379481,1143,4
"181",181,2207,"summa.wav","all_QUD",8.33081666666667,27,1643,"No","trial_1",13,40,"allQUD",7.40427911803727,1643,4
"182",182,2208,"summa.wav","all_QUD",8.33081666666667,27,993,"No","trial_1",13,41,"allQUD",6.90073066404517,993,4
"183",183,2215,"summa.wav","all_QUD",8.33081666666667,27,1842,"No","trial_2",13,48,"allQUD",7.51860721681525,1842,4
"184",184,2229,"summa.wav","all_QUD",8.33081666666667,27,1025,"No","trial_2",13,62,"allQUD",6.93244789157251,1025,4
"185",185,2236,"summa.wav","all_QUD",8.33081666666667,27,1547,"No","trial_2",13,69,"allQUD",7.34407285057307,1547,4
"186",186,2247,"summa.wav","all_QUD",8.33081666666667,27,1458,"No","trial_2",13,80,"allQUD",7.2848209125686,1458,4
"187",187,2272,"summa.wav","all_QUD",8.92603333333333,28,1846,"No","trial_1",13,25,"allQUD",7.5207764150628,1846,4
"188",188,2274,"summa.wav","all_QUD",8.92603333333333,28,1301,"No","trial_1",13,27,"allQUD",7.1708884785125,1301,4
"189",189,2279,"summa.wav","all_QUD",8.92603333333333,28,1269,"No","trial_1",13,32,"allQUD",7.14598446771439,1269,4
"190",190,2288,"summa.wav","all_QUD",8.92603333333333,28,1509,"No","trial_1",13,41,"allQUD",7.31920245876785,1509,4
"191",191,2299,"summa.wav","all_QUD",8.92603333333333,28,1500,"No","trial_2",13,52,"allQUD",7.3132203870903,1500,4
"192",192,2312,"summa.wav","all_QUD",8.92603333333333,28,1836,"No","trial_2",13,65,"allQUD",7.51534457118044,1836,4
"193",193,2318,"summa.wav","all_QUD",8.92603333333333,28,1685,"No","trial_2",13,71,"allQUD",7.42952084278646,1685,4
"194",194,2326,"summa.wav","all_QUD",8.92603333333333,28,3133,"No","trial_2",13,79,"allQUD",8.04974629095219,3133,4
"195",195,2432,"summa.wav","all_QUD",14.0690166666667,30,2103,"No","trial_1",13,25,"allQUD",7.6511201757027,2103,4
"196",196,2434,"summa.wav","all_QUD",14.0690166666667,30,2228,"No","trial_1",13,27,"allQUD",7.70885960104718,2228,4
"197",197,2448,"summa.wav","all_QUD",14.0690166666667,30,1761,"No","trial_1",13,41,"allQUD",7.47363710849621,1761,4
"198",198,2450,"summa.wav","all_QUD",14.0690166666667,30,1521,"No","trial_1",13,43,"allQUD",7.32712329225929,1521,4
"199",199,2455,"summa.wav","all_QUD",14.0690166666667,30,2052,"No","trial_2",13,48,"allQUD",7.62657020629066,2052,4
"200",200,2460,"summa.wav","all_QUD",14.0690166666667,30,2052,"No","trial_2",13,53,"allQUD",7.62657020629066,2052,4
"201",201,2481,"summa.wav","all_QUD",14.0690166666667,30,1685,"No","trial_2",13,74,"allQUD",7.42952084278646,1685,4
"202",202,2487,"summa.wav","all_QUD",14.0690166666667,30,2365,"No","trial_2",13,80,"allQUD",7.76853330092603,2365,4
"203",203,2584,"summa.wav","all_QUD",9.9714,32,2671,"No","trial_1",13,17,"allQUD",7.89020821310996,2671,4
"204",204,2588,"summa.wav","all_QUD",9.9714,32,2509,"Yes","trial_1",13,21,"allQUD",7.82763954636642,2509,4
"205",205,2602,"summa.wav","all_QUD",9.9714,32,1990,"Yes","trial_1",13,35,"allQUD",7.59588991771854,1990,4
"206",206,2607,"summa.wav","all_QUD",9.9714,32,1417,"Yes","trial_1",13,40,"allQUD",7.25629723969068,1417,4
"207",207,2622,"summa.wav","all_QUD",9.9714,32,1743,"Yes","trial_2",13,55,"allQUD",7.46336304552002,1743,4
"208",208,2627,"summa.wav","all_QUD",9.9714,32,2149,"Yes","trial_2",13,60,"allQUD",7.67275789664251,2149,4
"209",209,2638,"summa.wav","all_QUD",9.9714,32,1982,"Yes","trial_2",13,71,"allQUD",7.59186171488993,1982,4
"210",210,2642,"summa.wav","all_QUD",9.9714,32,1517,"Yes","trial_2",13,75,"allQUD",7.32448997934853,1517,4
"211",211,2666,"summa.wav","all_QUD",7.36741666666667,33,1531,"No","trial_1",13,19,"allQUD",7.33367639565768,1531,4
"212",212,2674,"summa.wav","all_QUD",7.36741666666667,33,1345,"No","trial_1",13,27,"allQUD",7.20414929203594,1345,4
"213",213,2681,"summa.wav","all_QUD",7.36741666666667,33,1237,"No","trial_1",13,34,"allQUD",7.12044437239249,1237,4
"214",214,2693,"summa.wav","all_QUD",7.36741666666667,33,1386,"No","trial_1",13,46,"allQUD",7.23417717974985,1386,4
"215",215,2698,"summa.wav","all_QUD",7.36741666666667,33,938,"No","trial_2",13,51,"allQUD",6.84374994900622,938,4
"216",216,2707,"summa.wav","all_QUD",7.36741666666667,33,1226,"No","trial_2",13,60,"allQUD",7.11151211649616,1226,4
"217",217,2715,"summa.wav","all_QUD",7.36741666666667,33,1068,"No","trial_2",13,68,"allQUD",6.97354301952014,1068,4
"218",218,2720,"summa.wav","all_QUD",7.36741666666667,33,1008,"No","trial_2",13,73,"allQUD",6.91572344863131,1008,4
