"","rawRT","key","audio","age_group","qud","slide_type","image","slide_number","workerid","Answer.time_in_minutes","speaker_cond"
"59","1348","No","all.wav","age1","allQUD","trial_2","5",62,0,8.86733333333333,"age1all"
"60","2151","No","eight.wav","age1","allQUD","trial_2","8",63,0,8.86733333333333,"age1all"
"61","1069","No","two.wav","age1","allQUD","trial_2","5",64,0,8.86733333333333,"age1all"
"62","1006","No","summa.wav","age1","allQUD","trial_2","0",65,0,8.86733333333333,"age1all"
"63","1428","Yes","summa.wav","age1","allQUD","trial_2","11",66,0,8.86733333333333,"age1all"
"64","1399","No","all.wav","age1","allQUD","trial_2","11",67,0,8.86733333333333,"age1all"
"65","927","No","summa.wav","age1","allQUD","trial_2","13",68,0,8.86733333333333,"age1all"
"66","1052","No","five.wav","age1","allQUD","trial_2","13",69,0,8.86733333333333,"age1all"
"67","1500","No","nine.wav","age1","allQUD","trial_2","5",70,0,8.86733333333333,"age1all"
"68","1539","Yes","two.wav","age1","allQUD","trial_2","2",71,0,8.86733333333333,"age1all"
"69","1290","No","two.wav","age1","allQUD","trial_2","8",72,0,8.86733333333333,"age1all"
"70","2667","No","summa.wav","age1","allQUD","trial_2","0",73,0,8.86733333333333,"age1all"
"71","3872","Yes","eleven.wav","age1","allQUD","trial_2","11",74,0,8.86733333333333,"age1all"
"72","1136","Yes","all.wav","age1","allQUD","trial_2","13",75,0,8.86733333333333,"age1all"
"73","1120","Yes","all.wav","age1","allQUD","trial_2","13",76,0,8.86733333333333,"age1all"
"74","1265","No","summa.wav","age1","allQUD","trial_2","13",77,0,8.86733333333333,"age1all"
"75","1617","No","twelve.wav","age1","allQUD","trial_2","2",78,0,8.86733333333333,"age1all"
"76","1983","No","none.wav","age1","allQUD","trial_2","2",79,0,8.86733333333333,"age1all"
"77","1597","Yes","five.wav","age1","allQUD","trial_2","5",80,0,8.86733333333333,"age1all"
"78","1586","No","all.wav","age1","allQUD","trial_2","0",81,0,8.86733333333333,"age1all"
"79","1276","Yes","none.wav","age1","allQUD","trial_2","0",82,0,8.86733333333333,"age1all"
"80","1427","Yes","eight.wav","age1","allQUD","trial_2","8",83,0,8.86733333333333,"age1all"
"81","0","Mary","","age1","allQUD","bot_check","Mary",1,1,9.46383333333333,"age1all"
"82","0","Four","","age1","allQUD","audio_check","",3,1,9.46383333333333,"age1all"
"83","0","Empty","","age1","allQUD","comprehension_check_1","",4,1,9.46383333333333,"age1all"
"84","2490","No","none.wav","age1","allQUD","practice_trial","13",6,1,9.46383333333333,"age1all"
"85","2106","Yes","all.wav","age1","allQUD","practice_trial","13",7,1,9.46383333333333,"age1all"
"86","1961","No","all.wav","age1","allQUD","practice_trial","0",8,1,9.46383333333333,"age1all"
"87","2142","Yes","none.wav","age1","allQUD","practice_trial","0",9,1,9.46383333333333,"age1all"
"88","2200","Yes","all.wav","age1","allQUD","trial_1","13",11,1,9.46383333333333,"age1all"
"89","3924","Yes","eight.wav","age1","allQUD","trial_1","8",12,1,9.46383333333333,"age1all"
"90","2589","No","four.wav","age1","allQUD","trial_1","5",13,1,9.46383333333333,"age1all"
"91","1949","Yes","none.wav","age1","allQUD","trial_1","0",14,1,9.46383333333333,"age1all"
