"slide_number","slide_type","Answer.time_in_minutes","workerid","Answer.condition","audio","response","image","speaker_cond"
1,"bot_check",8.86733333333333,0,"age1-allQUD","","[0, 'Jessica']","Jessica","age1-all"
3,"audio_check",8.86733333333333,0,"age1-allQUD","","[0, 'Four']","","age1-all"
4,"comprehension_check_1",8.86733333333333,0,"age1-allQUD","","[0, 'Empty']","","age1-all"
6,"practice_trial",8.86733333333333,0,"age1-allQUD","none.wav","[2192, 'No']","13","age1-all"
7,"practice_trial",8.86733333333333,0,"age1-allQUD","all.wav","[1625, 'Yes']","13","age1-all"
8,"practice_trial",8.86733333333333,0,"age1-allQUD","all.wav","[1711, 'No']","0","age1-all"
9,"practice_trial",8.86733333333333,0,"age1-allQUD","none.wav","[1787, 'Yes']","0","age1-all"
11,"trial_1",8.86733333333333,0,"age1-allQUD","summa.wav","[1820, 'No']","13","age1-all"
12,"trial_1",8.86733333333333,0,"age1-allQUD","eleven.wav","[5175, 'No']","8","age1-all"
13,"trial_1",8.86733333333333,0,"age1-allQUD","summa.wav","[2998, 'Yes']","8","age1-all"
14,"trial_1",8.86733333333333,0,"age1-allQUD","all.wav","[1712, 'No']","2","age1-all"
15,"trial_1",8.86733333333333,0,"age1-allQUD","summa.wav","[1818, 'No']","13","age1-all"
16,"trial_1",8.86733333333333,0,"age1-allQUD","two.wav","[1828, 'Yes']","2","age1-all"
17,"trial_1",8.86733333333333,0,"age1-allQUD","five.wav","[1651, 'No']","0","age1-all"
18,"trial_1",8.86733333333333,0,"age1-allQUD","thirteen.wav","[4716, 'No']","11","age1-all"
19,"trial_1",8.86733333333333,0,"age1-allQUD","summa.wav","[1826, 'No']","0","age1-all"
20,"trial_1",8.86733333333333,0,"age1-allQUD","four.wav","[1850, 'No']","5","age1-all"
21,"trial_1",8.86733333333333,0,"age1-allQUD","two.wav","[1668, 'Yes']","2","age1-all"
22,"trial_1",8.86733333333333,0,"age1-allQUD","none.wav","[1701, 'No']","8","age1-all"
23,"trial_1",8.86733333333333,0,"age1-allQUD","all.wav","[1442, 'Yes']","13","age1-all"
24,"trial_1",8.86733333333333,0,"age1-allQUD","none.wav","[1641, 'Yes']","0","age1-all"
25,"trial_1",8.86733333333333,0,"age1-allQUD","all.wav","[2315, 'No']","5","age1-all"
26,"trial_1",8.86733333333333,0,"age1-allQUD","eight.wav","[1626, 'Yes']","8","age1-all"
27,"trial_1",8.86733333333333,0,"age1-allQUD","eight.wav","[1699, 'No']","13","age1-all"
28,"trial_1",8.86733333333333,0,"age1-allQUD","all.wav","[1531, 'Yes']","13","age1-all"
29,"trial_1",8.86733333333333,0,"age1-allQUD","summa.wav","[1294, 'No']","0","age1-all"
30,"trial_1",8.86733333333333,0,"age1-allQUD","summa.wav","[891, 'No']","13","age1-all"
31,"trial_1",8.86733333333333,0,"age1-allQUD","two.wav","[1024, 'Yes']","2","age1-all"
32,"trial_1",8.86733333333333,0,"age1-allQUD","none.wav","[1215, 'No']","11","age1-all"
33,"trial_1",8.86733333333333,0,"age1-allQUD","all.wav","[1451, 'No']","11","age1-all"
34,"trial_1",8.86733333333333,0,"age1-allQUD","seven.wav","[1788, 'No']","11","age1-all"
35,"trial_1",8.86733333333333,0,"age1-allQUD","all.wav","[981, 'Yes']","13","age1-all"
36,"trial_1",8.86733333333333,0,"age1-allQUD","none.wav","[1427, 'Yes']","0","age1-all"
37,"trial_1",8.86733333333333,0,"age1-allQUD","all.wav","[1231, 'No']","0","age1-all"
38,"trial_1",8.86733333333333,0,"age1-allQUD","all.wav","[1108, 'Yes']","13","age1-all"
39,"trial_1",8.86733333333333,0,"age1-allQUD","two.wav","[1721, 'Yes']","2","age1-all"
40,"trial_1",8.86733333333333,0,"age1-allQUD","summa.wav","[1709, 'Yes']","5","age1-all"
41,"trial_1",8.86733333333333,0,"age1-allQUD","five.wav","[1521, 'Yes']","5","age1-all"
42,"trial_1",8.86733333333333,0,"age1-allQUD","eleven.wav","[4329, 'Yes']","11","age1-all"
43,"trial_1",8.86733333333333,0,"age1-allQUD","eleven.wav","[1535, 'No']","0","age1-all"
44,"trial_1",8.86733333333333,0,"age1-allQUD","eight.wav","[1074, 'Yes']","8","age1-all"
45,"trial_1",8.86733333333333,0,"age1-allQUD","summa.wav","[1149, 'No']","13","age1-all"
46,"trial_1",8.86733333333333,0,"age1-allQUD","ten.wav","[1190, 'No']","5","age1-all"
47,"comprehension_check_2",8.86733333333333,0,"age1-allQUD","","[0, 'Empty']","","age1-all"
48,"trial_2",8.86733333333333,0,"age1-allQUD","summa.wav","[2821, 'Yes']","2","age1-all"
49,"trial_2",8.86733333333333,0,"age1-allQUD","summa.wav","[1398, 'No']","13","age1-all"
50,"trial_2",8.86733333333333,0,"age1-allQUD","all.wav","[1087, 'Yes']","13","age1-all"
51,"trial_2",8.86733333333333,0,"age1-allQUD","three.wav","[2053, 'No']","0","age1-all"
52,"trial_2",8.86733333333333,0,"age1-allQUD","one.wav","[1356, 'No']","11","age1-all"
53,"trial_2",8.86733333333333,0,"age1-allQUD","none.wav","[1108, 'No']","13","age1-all"
54,"trial_2",8.86733333333333,0,"age1-allQUD","two.wav","[1036, 'Yes']","2","age1-all"
55,"trial_2",8.86733333333333,0,"age1-allQUD","none.wav","[1216, 'Yes']","0","age1-all"
56,"trial_2",8.86733333333333,0,"age1-allQUD","five.wav","[1000, 'Yes']","5","age1-all"
57,"trial_2",8.86733333333333,0,"age1-allQUD","all.wav","[958, 'Yes']","13","age1-all"
58,"trial_2",8.86733333333333,0,"age1-allQUD","summa.wav","[1498, 'No']","13","age1-all"
59,"trial_2",8.86733333333333,0,"age1-allQUD","all.wav","[1590, 'No']","8","age1-all"
60,"trial_2",8.86733333333333,0,"age1-allQUD","ten.wav","[5020, 'No']","13","age1-all"
61,"trial_2",8.86733333333333,0,"age1-allQUD","eight.wav","[2089, 'Yes']","8","age1-all"
62,"trial_2",8.86733333333333,0,"age1-allQUD","all.wav","[1348, 'No']","5","age1-all"
63,"trial_2",8.86733333333333,0,"age1-allQUD","eight.wav","[2151, 'No']","8","age1-all"
64,"trial_2",8.86733333333333,0,"age1-allQUD","two.wav","[1069, 'No']","5","age1-all"
65,"trial_2",8.86733333333333,0,"age1-allQUD","summa.wav","[1006, 'No']","0","age1-all"
66,"trial_2",8.86733333333333,0,"age1-allQUD","summa.wav","[1428, 'Yes']","11","age1-all"
67,"trial_2",8.86733333333333,0,"age1-allQUD","all.wav","[1399, 'No']","11","age1-all"
68,"trial_2",8.86733333333333,0,"age1-allQUD","summa.wav","[927, 'No']","13","age1-all"
69,"trial_2",8.86733333333333,0,"age1-allQUD","five.wav","[1052, 'No']","13","age1-all"
70,"trial_2",8.86733333333333,0,"age1-allQUD","nine.wav","[1500, 'No']","5","age1-all"
71,"trial_2",8.86733333333333,0,"age1-allQUD","two.wav","[1539, 'Yes']","2","age1-all"
72,"trial_2",8.86733333333333,0,"age1-allQUD","two.wav","[1290, 'No']","8","age1-all"
73,"trial_2",8.86733333333333,0,"age1-allQUD","summa.wav","[2667, 'No']","0","age1-all"
74,"trial_2",8.86733333333333,0,"age1-allQUD","eleven.wav","[3872, 'Yes']","11","age1-all"
75,"trial_2",8.86733333333333,0,"age1-allQUD","all.wav","[1136, 'Yes']","13","age1-all"
76,"trial_2",8.86733333333333,0,"age1-allQUD","all.wav","[1120, 'Yes']","13","age1-all"
77,"trial_2",8.86733333333333,0,"age1-allQUD","summa.wav","[1265, 'No']","13","age1-all"
78,"trial_2",8.86733333333333,0,"age1-allQUD","twelve.wav","[1617, 'No']","2","age1-all"
